"((1186.4067835765754, 104.35084331924621, 0.0), (483.09308812559914, 221.75392051534007, 0.0), (954.1199330391726, 524.8480457553961, 0.0), (494.0769371825016, 1481.676747845018, 0.0), (307.6822750302194, 131.33235632708423, 0.0), (1191.4554402009637, 825.2802779482554, 0.0), (689.1696591154594, 1019.2880873246127, 0.0), (168.88337145902145, 468.24102718191835, 0.0), (865.0815893571208, 378.3937243255257, 0.0), (1351.0366418520587, 44.64401885226765, 0.0), (1208.8329948742978, 306.2786808150745, 0.0), (1042.9173065814557, 409.01680159630155, 0.0), (425.031279535376, 1187.8805005984486, 0.0), (300.10375764050207, 377.81369530125403, 0.0), (361.16575001281757, 261.3693691383062, 0.0), (709.9766940007835, 1356.5631021254765, 0.0), (1261.0521229577112, 1228.6133735733385, 0.0), (865.5268741305692, 318.4633555984104, 0.0), (1365.171021501369, 1455.3851275745951, 0.0), (978.1338813178706, 1435.785831513133, 0.0))","((500, 1250, 190), (900, 450, 190), (1100, 400, 190), (300, 550, 190), (450, 500, 190), (1400, 1400, 190), (1000, 650, 190))",,"{0: [2], 1: [4], 2: [1], 3: [0], 4: [4], 5: [6], 6: [0], 7: [3], 8: [1], 9: [2], 10: [2], 11: [2], 12: [0], 13: [3], 14: [4], 15: [0], 16: [5], 17: [1], 18: [5], 19: [5]}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0}"
"((1156.5236577065823, 99.90700442512389, 0.0), (441.280270716001, 238.32767640677835, 0.0), (1008.2978315421402, 515.3368778021601, 0.0), (517.115675498296, 1471.7186148696653, 0.0), (296.43962835059205, 65.26676455491122, 0.0), (1205.5936416548782, 824.4383674990476, 0.0), (697.1747320619465, 991.8695312532691, 0.0), (207.32990639553657, 449.6301310390414, 0.0), (793.594375883466, 403.1463666722164, 0.0), (1386.5573602240138, 33.82255116556185, 0.0), (1216.9555389521993, 318.2568125965483, 0.0), (1067.463662758266, 426.9871294250013, 0.0), (446.7793054043615, 1138.8468794704331, 0.0), (257.26452279673157, 379.09569740016923, 0.0), (326.6591579871728, 262.4981374664868, 0.0), (710.3186433515391, 1369.5782792158398, 0.0), (1275.817853234312, 1253.468965937344, 0.0), (821.6242657103364, 308.68162634404524, 0.0), (1407.2368501694918, 1468.713497437139, 0.0), (939.9062946165159, 1471.4540814530465, 0.0))","((1400, 1450, 190), (400, 1100, 190), (1350, 150, 190), (200, 250, 190), (250, 250, 190), (1000, 300, 190), (800, 750, 190))",,"{0: [2], 1: [4], 2: [5], 3: [0], 4: [4], 5: [6], 6: [6], 7: [3], 8: [5], 9: [2], 10: [2], 11: [5], 12: [1], 13: [4], 14: [4], 15: [1], 16: [0], 17: [5], 18: [0], 19: [0]}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0}"
"((1155.6780371021482, 92.21362877838344, 0.0), (431.7672403313441, 251.995984284728, 0.0), (970.5980268473244, 549.2069216516763, 0.0), (453.8430312174314, 1479.8690147391665, 0.0), (293.58469776883464, 56.80037673506769, 0.0), (1170.1752363345865, 841.7683538337687, 0.0), (687.1617727417788, 972.8021166170025, 0.0), (190.97088933204, 464.1083350801625, 0.0), (789.5324534441896, 377.5682528332014, 0.0), (1390.697956989138, 57.61665561022201, 0.0), (1246.5241700901165, 356.82175026287644, 0.0), (1097.8227788695465, 451.4269215687157, 0.0), (417.6924872863633, 1177.563928804906, 0.0), (237.422323202905, 329.6091700826486, 0.0), (368.56671517453833, 263.39000679366814, 0.0), (725.0182358374112, 1408.7781042080262, 0.0), (1317.6647672484983, 1272.4232588781886, 0.0), (805.8358144924443, 287.5127122418985, 0.0), (1388.016508110939, 1462.848130340335, 0.0), (978.6668997008233, 1495.8308110833252, 0.0))","((1400, 1450, 190), (1350, 100, 190), (400, 1100, 190), (950, 400, 190), (1000, 650, 190), (500, 600, 190), (550, 600, 190))",,"{0: [1], 1: [5], 2: [4], 3: [0], 4: [5], 5: [4], 6: [2], 7: [5], 8: [3], 9: [1], 10: [1], 11: [3], 12: [2], 13: [5], 14: [5], 15: [2], 16: [0], 17: [3], 18: [0], 19: [0]}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0}"
"((1119.8438017976073, 61.67309502051025, 0.0), (447.3871275443937, 246.11095499772048, 0.0), (953.6546244836995, 536.0018251731019, 0.0), (484.1595203824681, 1486.957351450883, 0.0), (269.94441593335495, 32.81218324680871, 0.0), (1114.0807407472737, 903.9169560380017, 0.0), (655.4075201331133, 940.6173598112268, 0.0), (217.4641018625361, 462.246628874175, 0.0), (806.8270098987945, 354.40355817684855, 0.0), (1384.3891730009757, 51.695121049444396, 0.0), (1268.493832193088, 352.7649156924835, 0.0), (1100.6709078249683, 473.77271119764157, 0.0), (403.06372931496475, 1152.2112249591983, 0.0), (213.46790313858293, 396.14460144819293, 0.0), (431.0983013967925, 238.54731263816385, 0.0), (688.7548684616356, 1364.410193285626, 0.0), (1339.2426348167658, 1277.1603921521419, 0.0), (790.7713206106336, 291.5051613152012, 0.0), (1353.5286380530863, 1406.9771309393561, 0.0), (976.9980088112801, 1461.5279919182317, 0.0))","((1400, 1450, 190), (1350, 50, 190), (400, 1100, 190), (1050, 350, 190), (950, 700, 190), (550, 550, 190), (500, 650, 190))",,"{0: [1], 1: [6], 2: [4], 3: [0], 4: [5], 5: [4], 6: [2], 7: [6], 8: [3], 9: [1], 10: [3], 11: [3], 12: [2], 13: [5], 14: [6], 15: [2], 16: [0], 17: [3], 18: [0], 19: [0]}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0}"
"((1101.824111324537, 44.34944663092721, 0.0), (462.5059008133214, 245.48498610902803, 0.0), (919.3656210385423, 553.798973771938, 0.0), (451.64684039415533, 1467.8004616810103, 0.0), (323.7608672646659, 15.208830235370495, 0.0), (1036.138804972619, 856.0101456267782, 0.0), (616.2305576226682, 970.4356173014979, 0.0), (183.43151471121982, 445.4612879289535, 0.0), (809.9412815410082, 371.6096265586721, 0.0), (1357.580906960965, 102.31984488943361, 0.0), (1271.6025587060296, 348.3700844952962, 0.0), (1146.2853874668747, 472.6648765897458, 0.0), (404.6181822977686, 1158.1017248053208, 0.0), (214.96776185887188, 387.2948446299202, 0.0), (448.60802963092726, 204.50357565451984, 0.0), (734.7648241953879, 1353.089950998574, 0.0), (1308.4350137657418, 1278.8670805474192, 0.0), (818.6880452753317, 279.2638876374311, 0.0), (1381.4160912932996, 1408.8677188244485, 0.0), (925.8575808054457, 1475.8709064471682, 0.0))","((1400, 1450, 190), (400, 1100, 190), (1350, 250, 190), (400, 550, 190), (500, 550, 190), (900, 400, 190), (1000, 650, 190))",,"{0: [2], 1: [4], 2: [6], 3: [0], 4: [3], 5: [6], 6: [1], 7: [3], 8: [5], 9: [2], 10: [2], 11: [6], 12: [1], 13: [3], 14: [3], 15: [1], 16: [0], 17: [5], 18: [0], 19: [0]}","{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0}"
