GU Position,UAV Position,State,UAV Connections,GU Capacity
"((64.6594632087161, 123.12348549207475, 0.0), (123.2841201109725, 29.38954062630378, 0.0), (18.591010731577413, 25.19223759135143, 0.0), (116.86643482453047, 86.82564675473711, 0.0), (23.571041849004814, 45.39374704426363, 0.0), (177.18193828794423, 46.84018643715015, 0.0), (14.114206626578124, 64.44402038059688, 0.0), (82.5617153832828, 16.764590087580046, 0.0), (26.423454821224972, 5.644817880094154, 0.0), (18.050542530142625, 5.945616093230502, 0.0), (13.183072088337703, 23.405567975717084, 0.0))","((10, 45, 50), (105, 20, 50), (120, 25, 50), (15, 25, 50), (15, 5, 50))",010011100111110011110,"{0: [0], 1: [2], 2: [3], 3: [2], 4: [0], 5: [2], 6: [0], 7: [1], 8: [4], 9: [4], 10: [3]}","{0: 3957153780.6700087, 1: 5518889354.747143, 2: 4127300766.252488, 3: 4891720344.9426565, 4: 3957153780.6700087, 5: 4910668009.9402, 6: 3957153780.6700087, 7: 5518889354.747143, 8: 4078877274.5939345, 9: 4078877274.5939345, 10: 4127300766.252488}"
"((80.59083874628675, 130.68277443390403, 0.0), (116.38821099169408, 13.080033755110108, 0.0), (26.550669056875787, 36.00066693887416, 0.0), (92.26232403599917, 81.74611938944328, 0.0), (22.072878761125754, 44.940056448521474, 0.0), (174.96415769598303, 63.99953311499462, 0.0), (29.773663798568275, 56.68652782990144, 0.0), (82.79316293924045, 12.66132253769625, 0.0), (47.44797217039622, 2.3971154393103027, 0.0), (23.090189323986262, 29.686046761966903, 0.0), (14.146579988655816, 26.168300583978617, 0.0), (6.423407743573275, 13.884927453194312, 0.0))","((20, 15, 50), (80, 40, 50), (130, 30, 55), (25, 35, 50), (20, 30, 50))",001011010111011111110,"{0: [1], 1: [2], 2: [3], 3: [1], 4: [3], 5: [2], 6: [3], 7: [1], 8: [0], 9: [4], 10: [4], 11: [0]}","{0: 4121147065.006564, 1: 5726566422.223025, 2: 4121147065.006564, 3: 4121147065.006564, 4: 4121147065.006564, 5: 4920533329.828261, 6: 4121147065.006564, 7: 4121147065.006564, 8: 4121147065.006564, 9: 4121147065.006564, 10: 4121147065.006564, 11: 4121147065.006564}"
"((70.18717950509745, 143.20689913436684, 0.0), (132.93031102824884, 20.4077835546273, 0.0), (42.543086283393045, 14.836707150720613, 0.0), (100.26413467020214, 69.97827096038696, 0.0), (22.046442171172064, 45.9924656949138, 0.0), (186.22566071845145, 63.71080602012436, 0.0), (31.619318824411916, 55.368393641302745, 0.0), (93.87708920453306, 17.129795059545863, 0.0), (55.76399897860079, 6.192796129396587, 0.0), (27.54243330524787, 30.313584799580827, 0.0), (27.499453667461964, 28.847027160492615, 0.0), (0.660530412356862, 5.248064309687528, 0.0))","((125, 25, 50), (80, 35, 50), (0, 5, 50), (25, 40, 50), (20, 15, 50))",001011010111011111111,"{0: [1], 1: [0], 2: [4], 3: [1], 4: [3], 5: [0], 6: [3], 7: [1], 8: [4], 9: [3], 10: [3], 11: [2]}","{0: 3775910933.7275257, 1: 5735324146.934897, 2: 4229975863.0758014, 3: 4229975863.0758014, 4: 4229975863.0758014, 5: 4611594257.1762705, 6: 4229975863.0758014, 7: 4229975863.0758014, 8: 4229975863.0758014, 9: 4229975863.0758014, 10: 4229975863.0758014, 11: 4229975863.0758014}"
"((48.95404745552429, 128.6505385435679, 0.0), (133.60593043463533, 15.598488531400527, 0.0), (26.77673793209716, 19.189928808312178, 0.0), (103.88920875179645, 85.36329321402253, 0.0), (16.769193152372722, 69.15378598891527, 0.0), (176.5406057828512, 44.459585770374, 0.0), (29.690402386789415, 49.61123972553908, 0.0), (73.2773683408663, 11.686442143253231, 0.0), (58.499197417612805, 3.8989327226532633, 0.0), (49.390110698749105, 30.853513047826958, 0.0), (7.907063528655186, 41.02365549636212, 0.0))","((130, 20, 50), (15, 30, 50), (20, 15, 50), (100, 45, 50), (90, 40, 50))",010011100111111010111,"{0: [4], 1: [0], 2: [2], 3: [3], 4: [1], 5: [0], 6: [1], 7: [4], 8: [2], 9: [2], 10: [1]}","{0: 4007409804.2983284, 1: 6029011771.391974, 2: 4593343017.700678, 3: 4593343017.700678, 4: 4593343017.700678, 5: 5149972990.057003, 6: 4593343017.700678, 7: 4593343017.700678, 8: 4593343017.700678, 9: 4593343017.700678, 10: 4593343017.700678}"
"((59.84799503846618, 139.09928144958283, 0.0), (138.54813676544958, 15.11998982952693, 0.0), (27.567294872608894, 18.12034501622681, 0.0), (103.6404394369362, 70.91777403739376, 0.0), (10.831397989924623, 66.41343538536967, 0.0), (178.96630979141676, 64.81442287342233, 0.0), (11.161466545613148, 58.67326513382243, 0.0), (76.85434502335353, 10.960876782235566, 0.0), (57.61484897385692, 1.9905048779863663, 0.0), (63.03283106302129, 12.519009563756828, 0.0), (27.252470563405932, 38.0652355341494, 0.0))","((130, 20, 50), (15, 40, 50), (15, 45, 50), (85, 0, 50), (85, 10, 50))",100011111110011011110,"{0: [2], 1: [0], 2: [1], 3: [0], 4: [2], 5: [0], 6: [2], 7: [4], 8: [3], 9: [4], 10: [1]}","{0: 3866933210.478382, 1: 6029011771.391974, 2: 4367201695.11616, 3: 5017319960.080336, 4: 4367201695.11616, 5: 4770974017.574273, 6: 4367201695.11616, 7: 4367201695.11616, 8: 4367201695.11616, 9: 4367201695.11616, 10: 4367201695.11616}"
"((51.48288668896831, 130.01693412711228, 0.0), (146.17381834416997, 42.425373004704625, 0.0), (33.8151854512485, 42.84528231600734, 0.0), (104.91491172412914, 72.36196946478339, 0.0), (22.299543813729613, 80.68167373590859, 0.0), (183.59998549242175, 62.4447537017232, 0.0), (5.116699992902676, 50.6251385030363, 0.0), (64.26001175162968, 19.987453736417137, 0.0), (32.76269882044578, 2.435426628488637, 0.0), (63.01460179790537, 14.343236773408954, 0.0), (21.44099084190428, 10.021511419362795, 0.0), (14.34857243595479, 11.487933888399128, 0.0), (12.832635111559673, 25.132860042747577, 0.0))","((25, 40, 50), (80, 15, 50), (125, 25, 50), (20, 20, 50), (10, 45, 50))",001111010011001111110,"{0: [0], 1: [2], 2: [0], 3: [2], 4: [4], 5: [2], 6: [4], 7: [1], 8: [3], 9: [1], 10: [3], 11: [3], 12: [3]}","{0: 3848570466.0620465, 1: 3848570466.0620465, 2: 3848570466.0620465, 3: 3848570466.0620465, 4: 3848570466.0620465, 5: 3848570466.0620465, 6: 3848570466.0620465, 7: 3848570466.0620465, 8: 3848570466.0620465, 9: 3848570466.0620465, 10: 3848570466.0620465, 11: 3848570466.0620465, 12: 3848570466.0620465}"
"((37.362651129928814, 136.9286231770052, 0.0), (142.90006337744745, 18.12871459979572, 0.0), (28.753733783278836, 65.57964358255902, 0.0), (89.88958000023729, 94.796975341828, 0.0), (21.460130355369003, 79.62394752438382, 0.0), (184.42078909423, 80.64854818188675, 0.0), (5.449044667302894, 43.35990186060469, 0.0), (43.13074711632349, 14.142450199175542, 0.0), (55.70656198775866, 13.494101167187422, 0.0), (79.95256132888188, 29.733893228533386, 0.0), (10.564626163217133, 6.009500528481083, 0.0), (18.141386691220717, 7.036433023046033, 0.0), (24.664402380368493, 18.800245194572547, 0.0), (21.681508971704577, 4.877363470416944, 0.0), (14.958654746515943, 21.456759862998464, 0.0))","((170, 115, 50), (65, 125, 50), (135, 10, 50), (80, 15, 55), (80, 30, 55))",100011000011111111111,"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [0], 6: [4], 7: [3], 8: [3], 9: [4], 10: [3], 11: [3], 12: [3], 13: [3], 14: [3]}","{0: 5763673002.855438, 1: 6131492359.958156, 2: 4685504423.013843, 3: 5525275927.72358, 4: 4865022161.263764, 5: 4115022672.3526673, 6: 4441807042.822503, 7: 5406809908.849253, 8: 5678478116.689806, 9: 5908630066.652522, 10: 4579829320.420895, 11: 4769189203.733223, 12: 4943504936.943284, 13: 4849184923.756883, 14: 4694503318.643331}"
"((41.30859028408306, 113.50084715663239, 0.0), (134.48500958008438, 6.977948960510114, 0.0), (17.980580671634538, 76.03842387510247, 0.0), (78.54724693782055, 92.76116235009026, 0.0), (8.962585761909958, 91.79667889864876, 0.0), (161.45436757942878, 67.68898764485414, 0.0), (7.201151615653891, 41.42876930116698, 0.0), (24.952855650724644, 27.89063960694496, 0.0), (78.27939086477475, 33.04221185048895, 0.0), (92.89875132366973, 6.023214880155816, 0.0), (4.081322287038352, 9.459035940975056, 0.0), (27.842416151552737, 10.151013106849941, 0.0), (44.606596468295066, 32.812700837790445, 0.0))","((15, 45, 50), (105, 20, 50), (130, 20, 50), (25, 30, 50), (5, 10, 50))",100011111110011010110,"{0: [0], 1: [2], 2: [0], 3: [1], 4: [0], 5: [2], 6: [0], 7: [3], 8: [1], 9: [1], 10: [4], 11: [3], 12: [3]}","{0: 4447526813.115189, 1: 6029011771.391974, 2: 4447526813.115189, 3: 4484496756.920387, 4: 4447526813.115189, 5: 5023088981.317231, 6: 4447526813.115189, 7: 4855281262.790721, 8: 5772860433.083756, 9: 6020593623.25635, 10: 4246781228.6863484, 11: 4855281262.790721, 12: 4855281262.790721}"
"((37.66465598052991, 118.20779767477808, 0.0), (132.07254102126734, 2.6177230819877275, 0.0), (35.207323129196936, 66.68381414143579, 0.0), (73.56083178272617, 80.52105644133145, 0.0), (10.60650619368932, 91.46391842469971, 0.0), (157.23281058010008, 74.03468468556692, 0.0), (3.782907178704464, 42.23769338483666, 0.0), (27.204996321208704, 27.187234819452932, 0.0), (72.42895869904352, 26.18351282502788, 0.0), (105.59005459532789, 22.09483482792543, 0.0), (6.398170658055825, 31.075262048776747, 0.0))","((25, 35, 50), (5, 35, 50), (10, 45, 50), (135, 20, 55), (80, 30, 50))",001011010111011111110,"{0: [2], 1: [3], 2: [2], 3: [4], 4: [2], 5: [3], 6: [2], 7: [0], 8: [4], 9: [4], 10: [1]}","{0: 3828909131.659402, 1: 5793255819.023293, 2: 3828909131.659402, 3: 5196144553.587456, 4: 3828909131.659402, 5: 4868406773.183161, 6: 3828909131.659402, 7: 3973455765.0525894, 8: 5874450284.334438, 9: 5844458214.127517, 10: 3588042997.99443}"
"((23.554537321275433, 130.29738589177362, 0.0), (130.89063758826092, 0.5489497414580176, 0.0), (12.546216813385655, 56.02440771632838, 0.0), (68.18374891608553, 93.16806013507065, 0.0), (13.393378084184002, 83.46024683039357, 0.0), (166.3036045003365, 61.88940985148284, 0.0), (18.4175320119556, 24.086568702703026, 0.0), (29.758248042662444, 29.44418552706225, 0.0), (66.22347386735251, 25.552268022131255, 0.0))","((95, 0, 50), (5, 45, 50), (0, 45, 50), (10, 45, 50), (15, 45, 55))",001001010111011111111,"{0: [3], 1: [0], 2: [3], 3: [0], 4: [3], 5: [0], 6: [3], 7: [3], 8: [0]}","{0: 3858517860.7663984, 1: 3858517860.7663984, 2: 3858517860.7663984, 3: 3858517860.7663984, 4: 3858517860.7663984, 5: 3858517860.7663984, 6: 3858517860.7663984, 7: 3858517860.7663984, 8: 3858517860.7663984}"
