UAV Connections,GU Capacity
"{0: [1], 1: [2], 2: [4], 3: [1], 4: [4], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 6093269344.37773, 1: 10.184475416774667, 2: 2774103588.3388577, 3: 3337016131.2667975, 4: 4194996391.9958754, 5: 4078945246.7045574, 6: 5758213814.156521, 7: 5578817879.017517, 8: 6094609966.444126, 9: 3313927269.232162, 10: 3191117009.039999, 11: 3136246925.5298176}"
"{0: [1], 1: [4], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 6198178256.816795, 1: 4337276824.975134, 2: 1.7870257078786758, 3: 3288676600.638696, 4: 4595995804.695161, 5: 4011473658.607268, 6: 5802415504.286048, 7: 6015581317.405012, 8: 5840504581.114296, 9: 3318058981.9822435, 10: 3416859884.6510334, 11: 3060854328.436482}"
"{0: [1], 1: [2], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 6201641802.11552, 1: 10.184475416774667, 2: 1.7870257078786758, 3: 3119447155.2148833, 4: 4612853788.269663, 5: 4012463270.7477136, 6: 5423227745.290905, 7: 6024836197.716265, 8: 6025220324.866326, 9: 3389986686.3914843, 10: 3763045409.7397146, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 6126494080.395358, 1: 4474733767.782339, 2: 1.7870257078786758, 3: 3171455419.5190663, 4: 4677432293.368496, 5: 4218777652.9072404, 6: 5662819932.193668, 7: 6080224132.252014, 8: 5837660884.272807, 9: 3430906185.284364, 10: 3545623258.435904, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 5535876397.592399, 1: 3985712893.1279116, 2: 3496456258.0151777, 3: 3173625127.1183395, 4: 4879653420.765279, 5: 4031210988.2608647, 6: 5244595668.359489, 7: 5521326911.684492, 8: 5955632063.456032, 9: 3445073843.493103, 10: 3534744602.389966, 11: 1.7870257078786758}"
"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [1]}","{0: 5398288806.287477, 1: 10.184475416774667, 2: 3860626444.6204896, 3: 3113153781.233944, 4: 4923405685.148812, 5: 3572228549.710589, 6: 5241063220.794636, 7: 5522973562.766951, 8: 5671511599.785495, 9: 1.7870257078786758, 10: 3537020944.787991, 11: 3206690043.321485}"
"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [4], 10: [1], 11: [1]}","{0: 4903704467.013045, 1: 10.184475416774667, 2: 3770542127.8610363, 3: 3045600652.0610557, 4: 5225637266.569001, 5: 3712556944.2839055, 6: 5413767535.606287, 7: 5742845329.35358, 8: 5640741200.144576, 9: 2675430638.3718467, 10: 3515458765.9021297, 11: 3201859727.530916}"
"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [4], 10: [1], 11: [0]}","{0: 4991274126.108778, 1: 10.184475416774667, 2: 3683746042.545124, 3: 2951012545.9343786, 4: 5769318794.808978, 5: 3667615901.449676, 6: 6000683085.707082, 7: 5835252811.342691, 8: 5662229687.817585, 9: 2834340220.104935, 10: 3938334463.325408, 11: 1.7870257078786758}"
"{0: [1], 1: [4], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [1]}","{0: 4893861006.858134, 1: 4423133197.990631, 2: 3521048453.1240106, 3: 3327702212.75206, 4: 5649986338.539057, 5: 3817177617.9668026, 6: 5769325118.860346, 7: 5147225732.762604, 8: 5674544782.898776, 9: 1.7870257078786758, 10: 4497921531.61108, 11: 3179649077.8925285}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 4697890755.658186, 1: 4276300267.0923615, 2: 3487627834.2300277, 3: 3610372069.367311, 4: 5577297937.108836, 5: 3838386528.067048, 6: 5627278149.8177805, 7: 5358313968.80236, 8: 5553067208.95365, 9: 3849218522.3437967, 10: 5004054992.0826025, 11: 2977274342.905227}"
"{0: [2], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 10.184475416774667, 1: 4630904854.600205, 2: 3807310169.728416, 3: 3317664798.4043164, 4: 5389506118.663674, 5: 3890143681.144104, 6: 5429226084.503353, 7: 5460114372.682449, 8: 5585598023.274786, 9: 3849611755.2517977, 10: 4744355365.582022, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [4]}","{0: 4587007803.950337, 1: 4092412246.6804543, 2: 3789192179.6858635, 3: 3293728599.3620524, 4: 5730038420.400205, 5: 4344871801.0774975, 6: 5670716617.437042, 7: 5598052001.17122, 8: 5057875588.964598, 9: 3950255818.5203037, 10: 5093071949.006306, 11: 2617131436.3015537}"
"{0: [1], 1: [1], 2: [1], 3: [0], 4: [1], 5: [0], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 4747337224.481749, 1: 4206424401.7711525, 2: 3585516777.0730143, 3: 1.7870257078786758, 4: 5668856541.47852, 5: 1.7870257078786758, 6: 5521841549.633187, 7: 6045271372.4316845, 8: 4910485268.999787, 9: 3764969424.5081635, 10: 5604990310.347964, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [1], 11: [0]}","{0: 5218985881.003569, 1: 4105870284.747028, 2: 3501560422.2011127, 3: 3068128925.384666, 4: 5039047398.197066, 5: 3886365236.6289964, 6: 5489815697.559201, 7: 6025078604.613428, 8: 5230754609.0441675, 9: 1.7870257078786758, 10: 6037553944.619988, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [4]}","{0: 5512590214.065384, 1: 3681715186.1735435, 2: 1.7870257078786758, 3: 3031011409.5589256, 4: 4813305252.485954, 5: 3475363576.154877, 6: 5368087411.624561, 7: 6050613508.104582, 8: 5196427583.498022, 9: 3789068976.8111844, 10: 5622790944.218094, 11: 2715608412.363679}"
"{0: [1], 1: [1], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 5543024702.573686, 1: 3679018516.7183266, 2: 1.7870257078786758, 3: 3161161184.832131, 4: 5163233862.611393, 5: 3413228519.4341383, 6: 5981669651.781443, 7: 5791368422.0148735, 8: 5614360174.358636, 9: 3716183749.4936843, 10: 5279635343.959022, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 6010637102.888971, 1: 3906179432.0304346, 2: 1.7870257078786758, 3: 3066981582.2425413, 4: 4805151136.2195015, 5: 3518960611.617749, 6: 5759721418.692516, 7: 6080224132.252014, 8: 5502564843.635194, 9: 3714173400.622475, 10: 5321568619.624565, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 5830060836.447073, 1: 3388273506.078519, 2: 3367139550.2117863, 3: 3274150556.132553, 4: 4218627662.6421585, 5: 3401938570.17117, 6: 5610492466.11622, 7: 6080224132.252014, 8: 5602647375.150146, 9: 3560891349.430681, 10: 5197419742.565031, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 5105993557.692894, 1: 3127805997.8925395, 2: 3362571586.285441, 3: 3278203435.142004, 4: 4197114494.3238096, 5: 3397578672.6874065, 6: 5659030816.401097, 7: 6080224132.252014, 8: 5678681685.727726, 9: 3469484149.417126, 10: 5247049801.177289, 11: 1.7870257078786758}"
"{0: [4], 1: [1], 2: [1], 3: [3], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 4512197174.818746, 1: 3571571872.614849, 2: 3640696073.9216175, 3: 5558158465.901854, 4: 4194419861.196219, 5: 3548800597.2495947, 6: 5483355773.983178, 7: 6034910305.401018, 8: 5869668790.453259, 9: 3860306097.330475, 10: 5984843642.920909, 11: 3704182336.1098104}"
