UAV Connections,GU Capacity
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 6140298060.707029, 1: 3909736771.186893, 2: 3553463590.568632, 3: 3172241901.9051003, 4: 6029049667.129643, 5: 4276418869.9249706, 6: 5318593223.25193, 7: 5945457359.1263275, 8: 5271556995.49327, 9: 3085024348.610178, 10: 3306728617.6109557, 11: 3247681793.906144}"
"{0: [1], 1: [1], 2: [1], 3: [3], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [4]}","{0: 5892583011.674701, 1: 4021905343.1434364, 2: 3717837875.31374, 3: 5045951691.611276, 4: 6036964061.500087, 5: 4657954225.029881, 6: 5488925994.343518, 7: 6080224132.252014, 8: 5265726374.300511, 9: 3307087827.1666784, 10: 1.7870257078786758, 11: 3126205473.014957}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [4]}","{0: 6178958204.422449, 1: 3982979231.32714, 2: 3412609529.3041, 3: 3257436835.859294, 4: 5841227690.784026, 5: 4024853763.600217, 6: 5697799577.53171, 7: 5899387568.814979, 8: 5127632907.010347, 9: 3311027734.117998, 10: 1.7870257078786758, 11: 3079654448.4010186}"
"{0: [1], 1: [1], 2: [1], 3: [4], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 6151831410.338576, 1: 3981098770.2389774, 2: 3183687414.84745, 3: 3052739529.8709054, 4: 5628553935.542865, 5: 4041098284.177962, 6: 6080224132.252014, 7: 6080224132.252014, 8: 5154746979.919108, 9: 3303942153.368814, 10: 1.7870257078786758, 11: 1.7870257078786758}"
"{0: [1], 1: [4], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [4], 11: [0]}","{0: 6175843286.53511, 1: 3556230159.6662183, 2: 3292574305.3550053, 3: 3571609640.638486, 4: 5379509140.729934, 5: 4073160331.9043136, 6: 5873566947.823816, 7: 6080224132.252014, 8: 4920161926.166244, 9: 3179429724.732354, 10: 2791534467.714205, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 6137123395.730157, 1: 3922793383.5625715, 2: 1.7870257078786758, 3: 3541892514.8749585, 4: 4948460891.132768, 5: 3831807200.3490615, 6: 5811956890.493493, 7: 6080224132.252014, 8: 4852387558.925226, 9: 3368235475.775168, 10: 1.7870257078786758, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 6149800808.733989, 1: 4016614079.470854, 2: 3341023360.8284917, 3: 3986878334.0877004, 4: 4927869955.757508, 5: 3791793846.3580666, 6: 5742519555.760317, 7: 6080224132.252014, 8: 5185068382.519708, 9: 3189310525.261055, 10: 1.7870257078786758, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [0], 3: [4], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [0], 11: [0]}","{0: 5765102533.096799, 1: 3979423261.5179505, 2: 1.7870257078786758, 3: 3516010170.133888, 4: 4871442991.239193, 5: 3823441965.599619, 6: 5690541579.974477, 7: 5736641396.805847, 8: 5303527101.881828, 9: 3406495056.9220185, 10: 1.7870257078786758, 11: 1.7870257078786758}"
"{0: [1], 1: [1], 2: [4], 3: [4], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [1]}","{0: 6013976724.340639, 1: 3882827811.756518, 2: 3131146390.3495364, 3: 3428300009.049654, 4: 4609400306.300119, 5: 4224654236.0764837, 6: 5939338130.973996, 7: 5479240041.622731, 8: 5280384906.105383, 9: 3413064927.532355, 10: 3241660573.226857, 11: 3383814502.8973813}"
"{0: [1], 1: [2], 2: [0], 3: [1], 4: [1], 5: [1], 6: [3], 7: [3], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 6050926793.943451, 1: 10.184475416774667, 2: 1.7870257078786758, 3: 3460978711.90467, 4: 3997094538.8709173, 5: 4443433651.722273, 6: 5940797127.30841, 7: 5821479510.397208, 8: 5993628263.954086, 9: 3025124612.625992, 10: 3286282541.344709, 11: 1.7870257078786758}"
