UAV Connections,GU Capacity
"{0: [1], 1: [0], 2: [1], 3: [4], 4: [4], 5: [4], 6: [1], 7: [4], 8: [3], 9: [1], 10: [1], 11: [1], 12: [1], 13: [1]}","{0: 4081593550.2983594, 1: 1.7870257078786758, 2: 4318768795.028486, 3: 3190770612.3245306, 4: 3020010312.428569, 5: 4512197174.818746, 6: 4941941129.375253, 7: 2922447302.6835575, 8: 5981134476.36817, 9: 4254846840.206933, 10: 4250825547.945941, 11: 3156886487.943798, 12: 3049848941.35291, 13: 2999405840.5229964}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [4], 5: [3], 6: [1], 7: [0], 8: [3], 9: [1], 10: [1], 11: [0], 12: [1]}","{0: 4778682938.307212, 1: 4926689457.525012, 2: 4339094761.122818, 3: 3596819035.3194966, 4: 3261986699.053717, 5: 5766443784.632139, 6: 4652681551.758344, 7: 1.7870257078786758, 8: 5629219793.498704, 9: 4071109366.007974, 10: 3792501414.646342, 11: 1.7870257078786758, 12: 3319143218.6843038}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [0], 5: [3], 6: [1], 7: [0], 8: [3], 9: [1], 10: [1], 11: [0], 12: [1], 13: [1]}","{0: 5348970432.022231, 1: 5268301201.150779, 2: 4168042353.016271, 3: 3592377357.165614, 4: 1.7870257078786758, 5: 5455814398.861557, 6: 4507328909.910764, 7: 1.7870257078786758, 8: 5678751933.227749, 9: 4173123280.6238837, 10: 3443048815.730007, 11: 1.7870257078786758, 12: 3215523607.9941397, 13: 2929053295.125628}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [0], 5: [3], 6: [1], 7: [4], 8: [3], 9: [1], 10: [1], 11: [0]}","{0: 5340180384.297718, 1: 5621175043.906963, 2: 4288398407.6425214, 3: 3994231433.256475, 4: 1.7870257078786758, 5: 5379944596.502883, 6: 3836358170.294154, 7: 2789124557.5087256, 8: 5609115436.923502, 9: 4255465089.998717, 10: 3445548233.566017, 11: 1.7870257078786758}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [0], 5: [4], 6: [1], 7: [0], 8: [1], 9: [1], 10: [1], 11: [0], 12: [1], 13: [1]}","{0: 4858545627.671719, 1: 5655228212.656386, 2: 4168895614.038519, 3: 4041387165.796216, 4: 1.7870257078786758, 5: 4512197174.818746, 6: 4395562626.217575, 7: 1.7870257078786758, 8: 3266819308.8560834, 9: 3679305378.5681763, 10: 3459181808.786957, 11: 1.7870257078786758, 12: 3258867890.3662505, 13: 2963124720.5406637}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [4], 8: [1], 9: [1], 10: [1], 11: [0]}","{0: 5301480591.020666, 1: 5289380085.218772, 2: 4053205821.63219, 3: 4530993624.188809, 4: 3222473149.190738, 5: 5873082048.900308, 6: 3979767154.861109, 7: 2715201390.997001, 8: 3154620616.123475, 9: 3227635524.0925717, 10: 3949061813.3857217, 11: 1.7870257078786758}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [4], 8: [3], 9: [1], 10: [1]}","{0: 5717868824.918278, 1: 5414946802.545673, 2: 3571815004.967198, 3: 4577384268.500929, 4: 3475711527.4632006, 5: 5850919825.213131, 6: 4101822817.894994, 7: 2824284272.490391, 8: 5760706456.569849, 9: 2981808625.6258554, 10: 3917267041.2539983}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [3], 9: [1]}","{0: 5564479705.567207, 1: 3339333010.032102, 2: 3639537043.9640183, 3: 4825518682.829637, 4: 3504404990.8589673, 5: 6080224132.252014, 6: 4146347439.2699695, 7: 1.7870257078786758, 8: 5817280962.409874, 9: 3045581610.952699}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0]}","{0: 5508346403.999407, 1: 3223138562.098422, 2: 3658704621.41561, 3: 4711166761.269937, 4: 3880766768.2277565, 5: 5537347613.298722, 6: 4454297866.948093, 7: 1.7870257078786758}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [4], 8: [1]}","{0: 5665539637.207656, 1: 5727791313.583313, 2: 3362615384.223123, 3: 4381792057.724347, 4: 3809181333.125164, 5: 5971851858.442792, 6: 4620693765.746886, 7: 2832020531.0130506, 8: 3027317982.973053}"
