UAV Connections,GU Capacity
"{0: [1], 1: [1], 2: [1], 3: [2], 4: [1], 5: [3], 6: [1], 7: [0], 8: [1], 9: [1], 10: [1]}","{0: 5750789395.099234, 1: 3186335218.3130198, 2: 3396235244.0570817, 3: 10.184475416774667, 4: 3791344598.960878, 5: 5830647889.143052, 6: 4117148716.8436265, 7: 1.7870257078786758, 8: 3104695512.7312417, 9: 3084693451.526564, 10: 3341480649.5921035}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [4], 9: [1], 10: [1], 11: [1]}","{0: 5605542251.861295, 1: 5224258081.728764, 2: 3623003677.9946303, 3: 4413313410.883885, 4: 3774743663.7529984, 5: 5800288538.658197, 6: 4056325195.243333, 7: 1.7870257078786758, 8: 2636735705.209836, 9: 3493495684.9623966, 10: 3392388502.040553, 11: 3157550338.7617064}"
"{0: [1], 1: [3], 2: [0], 3: [4], 4: [1], 5: [3], 6: [1], 7: [1], 8: [4], 9: [1], 10: [1], 11: [1]}","{0: 5965760673.243464, 1: 5659204009.473708, 2: 1.7870257078786758, 3: 4084576620.2563124, 4: 3795325394.75939, 5: 5536322291.232341, 6: 4035888964.15002, 7: 3205847318.89984, 8: 2736756008.4337635, 9: 3521324676.138687, 10: 3494630206.2619104, 11: 3003027417.4196253}"
"{0: [1], 1: [3], 2: [1], 3: [4], 4: [1], 5: [3], 6: [1], 7: [0], 8: [4], 9: [0], 10: [1]}","{0: 5964211470.629158, 1: 5553384750.757096, 2: 3324018861.403623, 3: 4435104332.963365, 4: 4241326319.3854165, 5: 5836656042.69334, 6: 3905277316.5459085, 7: 1.7870257078786758, 8: 2730768608.8685446, 9: 1.7870257078786758, 10: 3614610827.4605293}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [4], 9: [4], 10: [1]}","{0: 6085026593.969377, 1: 5591220274.045974, 2: 3308342142.7950177, 3: 4054600357.7840724, 4: 4127807521.39518, 5: 5701712815.742693, 6: 3973564693.018506, 7: 1.7870257078786758, 8: 2703586443.3861637, 9: 2862238683.338022, 10: 3664925369.879901}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [4], 8: [0], 9: [4], 10: [1], 11: [1], 12: [1]}","{0: 5991051159.992441, 1: 6080224132.252014, 2: 3781621520.009925, 3: 4064898091.04197, 4: 4554739508.398236, 5: 5614894273.326389, 6: 3768003532.34632, 7: 2961511191.222975, 8: 1.7870257078786758, 9: 2883716833.572502, 10: 3158480376.130404, 11: 3155853846.3614798, 12: 3368499272.3490767}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [4], 9: [0], 10: [1], 11: [1], 12: [1], 13: [1], 14: [1]}","{0: 6026216870.214645, 1: 5698664861.49376, 2: 4249734443.953469, 3: 4724977471.163571, 4: 4521790797.217917, 5: 8.90947067283437, 6: 3638702929.1353464, 7: 1.7870257078786758, 8: 2817593641.614965, 9: 1.7870257078786758, 10: 3057956788.0999966, 11: 3101536712.363276, 12: 3310901555.249254, 13: 3079980026.9351816, 14: 3317549068.11423}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1], 8: [4], 9: [1], 10: [1], 11: [1], 12: [0]}","{0: 5569375193.768051, 1: 5342012276.109846, 2: 4405518081.70184, 3: 4835872672.128268, 4: 4643298832.278137, 5: 5970365742.206865, 6: 3616927270.4776382, 7: 3468614892.208276, 8: 3250790164.512991, 9: 3043646578.6854863, 10: 3080096420.9989214, 11: 3178840605.194445, 12: 1.7870257078786758}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1], 8: [4], 9: [1], 10: [1]}","{0: 5660812538.231162, 1: 5203704728.76675, 2: 4307668939.539759, 3: 4587640974.307068, 4: 4660488952.164721, 5: 5883492545.473061, 6: 3606345542.096589, 7: 3463928939.3371396, 8: 3107178517.0274625, 9: 3213428475.381289, 10: 3432341950.799273}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1], 8: [4]}","{0: 5690212874.074922, 1: 5137703810.14129, 2: 3932113050.70067, 3: 4952906005.267724, 4: 4521745632.547259, 5: 5988291837.094948, 6: 3376661915.025812, 7: 3512672252.90203, 8: 3046881170.2225204}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1]}","{0: 5245122729.000871, 1: 5040891672.829257, 2: 4255191095.5799117, 3: 4900861668.342638, 4: 5210950878.597735, 5: 5520243239.909939, 6: 3629634881.7252035, 7: 3667736028.933894}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1], 8: [1], 9: [1]}","{0: 5258404715.460767, 1: 5077451045.828133, 2: 4670132768.397347, 3: 4759005351.942482, 4: 4980966302.413076, 5: 5646686977.871841, 6: 3259537260.0498786, 7: 3320041816.877674, 8: 3052078725.617054, 9: 2989947585.503414}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1]}","{0: 5368579795.8589945, 1: 5059082243.326958, 2: 5158015789.352229, 3: 5105714485.762932, 4: 5135299779.806818, 5: 5753689716.653513, 6: 3246815275.7934046, 7: 3205820997.440395}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3]}","{0: 5991859890.777338, 1: 3096831939.357916, 2: 5570567465.827566, 3: 5332345067.0432625, 4: 5285151891.5865345, 5: 5939039287.882946}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1]}","{0: 5670266047.971094, 1: 5346575916.929599, 2: 5533469793.434402, 3: 5020449511.926272, 4: 5406227291.587038, 5: 5888613201.1939125, 6: 3109670082.595643, 7: 3075365524.4982815}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3]}","{0: 5401419938.579705, 1: 3158661567.7743006, 2: 5004617083.098048, 3: 4812003738.38132, 4: 5339401359.736535, 5: 5959334930.4669895}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1]}","{0: 5293474499.16442, 1: 3011887071.9244003, 2: 5025265488.234444, 3: 5172089180.096378, 4: 5607387572.878605, 5: 5927028668.114982, 6: 3068222846.853183}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1]}","{0: 5564261141.410602, 1: 3092217347.842654, 2: 4848595256.714396, 3: 4986336838.299967, 4: 5841501065.276673, 5: 5749649089.358011, 6: 3286710398.3693542, 7: 3081716643.9959774}"
"{0: [1], 1: [0], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [1]}","{0: 5173048063.127508, 1: 1.7870257078786758, 2: 4631233317.9257765, 3: 5162655053.832785, 4: 5531889156.408014, 5: 5937778781.331282, 6: 3513589386.070307, 7: 3019404602.1768413}"
"{0: [1], 1: [1], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1]}","{0: 5012867423.392025, 1: 3262935506.3436327, 2: 4580390956.809579, 3: 4739935031.783183, 4: 5697160525.898574, 5: 5782772195.740899, 6: 4008705886.235683}"
