0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(1098.52833427873, 58.78104957606657, 0)","(450.21077564984097, 267.43883537376047, 0)","(941.5564706193605, 556.0899097552735, 0)","(476.44984397807747, 1480.6814653379788, 0)","(276.0288983911768, 24.156562812522775, 0)","(1068.0894034626385, 885.0980637661476, 0)","(650.2567667559517, 929.8345282014488, 0)","(206.4662521591554, 442.877383622051, 0)","(807.2461769943875, 348.9974781947912, 0)","(1368.2138371629906, 65.27237343837918, 0)","(1271.7980808114798, 369.1475741174578, 0)","(1092.5698573947252, 495.8500463604907, 0)","(423.48214223228047, 1134.2910620696073, 0)","(198.9016236383662, 398.15937552011434, 0)","(446.0608159287956, 218.25022430922996, 0)","(695.0174035042523, 1370.204597918835, 0)","(1326.8537329958876, 1298.8040648449157, 0)","(827.1169360326353, 301.95118956821887, 0)","(1353.9938502487812, 1405.7000944076015, 0)","(958.000839825001, 1470.880369931165, 0)"
"(1094.2436972001342, 64.46321483726825, 0)","(436.47328211902834, 267.2234464221845, 0)","(949.3608819639094, 553.9812236513227, 0)","(464.13631735518936, 1491.696636584862, 0)","(303.4356830998532, 18.651139584894267, 0)","(1042.8861489848816, 872.6946017421358, 0)","(624.5639271403094, 932.9072068305517, 0)","(204.65592714833602, 440.33205386733636, 0)","(820.2528959164683, 331.0059684343602, 0)","(1344.952258543459, 61.94212371332129, 0)","(1264.8613244832497, 358.3062244401942, 0)","(1111.6487209953648, 496.4086885787213, 0)","(417.16731491107527, 1129.008676991019, 0)","(212.21919622459228, 387.43290944002314, 0)","(456.2066485286045, 203.60372881775325, 0)","(706.7915853783119, 1358.4216799412986, 0)","(1328.3312788780713, 1302.0489353287865, 0)","(815.481892091121, 280.2845485483246, 0)","(1358.625231290351, 1411.1334548689435, 0)","(937.8406791449847, 1488.628685426199, 0)"
"(1083.1800688091423, 53.801935450507386, 0)","(444.7713788080037, 260.0200381452258, 0)","(958.3554839784375, 549.0991166222531, 0)","(458.28122952377896, 1489.6442959060269, 0)","(311.8336952760457, 21.003611409019186, 0)","(1049.4920198535938, 870.8632870518142, 0)","(621.6552553965964, 946.7397541226287, 0)","(201.86358390501118, 440.45301586812025, 0)","(825.0858937454036, 349.404311020669, 0)","(1352.1987603521632, 84.13447258486153, 0)","(1266.4863553950818, 363.03335266834046, 0)","(1137.8048769354043, 484.0816516887148, 0)","(398.3721126747401, 1144.1312409455015, 0)","(204.51179833958523, 382.47242607945367, 0)","(459.29953990151273, 179.59757618679703, 0)","(710.4406032949059, 1350.6670384242716, 0)","(1327.3630745316048, 1302.7805193121922, 0)","(816.5665172837644, 279.70324288327674, 0)","(1365.4741001609914, 1410.6982215191783, 0)","(933.087199019162, 1488.050296049257, 0)"
"(1082.2809190878534, 44.54563871501654, 0)","(447.6042995528245, 255.79030041245178, 0)","(947.3186990958613, 547.5467026305496, 0)","(450.1368942380835, 1467.2614704294742, 0)","(312.06940747431906, 20.727582469815083, 0)","(1031.7752859114617, 852.0667161491323, 0)","(613.0276055514988, 968.2719021165535, 0)","(187.38325646890053, 428.8195089849249, 0)","(806.7053934285345, 370.8384058427993, 0)","(1351.845277952348, 90.38247135955709, 0)","(1282.0511936027208, 352.6861869228119, 0)","(1145.0269829792699, 477.0963057546068, 0)","(402.35136812777324, 1164.7680820661992, 0)","(207.43941032950127, 380.43718574635915, 0)","(448.3903361448554, 207.05395617995603, 0)","(716.4354227826668, 1363.8729251441953, 0)","(1311.5873953462876, 1299.330494132883, 0)","(818.8898672123781, 279.1522312059567, 0)","(1378.9206973373907, 1409.6578120404317, 0)","(925.387261923366, 1496.8518307681045, 0)"
"(1101.824111324537, 44.34944663092721, 0)","(462.5059008133214, 245.48498610902803, 0)","(919.3656210385423, 553.798973771938, 0)","(451.64684039415533, 1467.8004616810103, 0)","(323.7608672646659, 15.208830235370495, 0)","(1036.138804972619, 856.0101456267782, 0)","(616.2305576226682, 970.4356173014979, 0)","(183.43151471121982, 445.4612879289535, 0)","(809.9412815410082, 371.6096265586721, 0)","(1357.580906960965, 102.31984488943361, 0)","(1271.6025587060296, 348.3700844952962, 0)","(1146.2853874668747, 472.6648765897458, 0)","(404.6181822977686, 1158.1017248053208, 0)","(214.96776185887188, 387.2948446299202, 0)","(448.60802963092726, 204.50357565451984, 0)","(734.7648241953879, 1353.089950998574, 0)","(1308.4350137657418, 1278.8670805474192, 0)","(818.6880452753317, 279.2638876374311, 0)","(1381.4160912932996, 1408.8677188244485, 0)","(925.8575808054457, 1475.8709064471682, 0)"
"(1110.1231080427256, 50.48173872289446, 0)","(442.89400665985653, 244.2590982876824, 0)","(937.6066693587013, 574.9183944677707, 0)","(465.20793300156095, 1476.6586804584024, 0)","(328.3363959564295, 15.177951778929017, 0)","(1031.9791137446553, 855.3873855651482, 0)","(603.9849350228507, 972.9042397409204, 0)","(177.53936794790883, 438.0858279083888, 0)","(795.1389125662043, 356.0594931505452, 0)","(1356.5382362966654, 106.79926631838394, 0)","(1267.7812451331274, 347.8883386649307, 0)","(1121.2283256934063, 469.62632648473175, 0)","(414.71239152304986, 1179.3717622920992, 0)","(219.1504546371558, 397.0325787125476, 0)","(476.59663653384916, 195.98503380966847, 0)","(734.0771044657665, 1351.0503095822885, 0)","(1301.2597570757077, 1304.550737760305, 0)","(814.1045622763293, 274.05864365544966, 0)","(1368.5271397749627, 1390.8928631339006, 0)","(925.9967146273798, 1466.8013676194423, 0)"
"(1112.7214231598125, 73.90209189486268, 0)","(463.66647085761934, 242.18052023762783, 0)","(960.7043343134649, 587.5888063087962, 0)","(490.99261682835737, 1471.6276469612578, 0)","(304.97920266202664, 11.56113236516114, 0)","(1043.2913022268654, 860.035484125177, 0)","(615.2028121848653, 966.1219484993649, 0)","(187.06930188499996, 445.6174321477709, 0)","(798.315077420668, 353.8014123552465, 0)","(1339.0448551229947, 108.20010422738476, 0)","(1238.2965375061603, 353.3406430383785, 0)","(1119.9961494896256, 460.4629787019486, 0)","(419.48230714086975, 1171.3819626776992, 0)","(217.5842359956063, 401.4821471216928, 0)","(474.545004343522, 192.35833338235403, 0)","(733.4807004331273, 1347.1033403168822, 0)","(1305.8595067764488, 1299.211677326072, 0)","(803.051630057789, 269.55525278510913, 0)","(1379.8612629986162, 1375.1439828228688, 0)","(931.0727705438602, 1465.982971020972, 0)"
"(1122.1360627289605, 76.55291809985414, 0)","(458.9875258941624, 231.3338894365439, 0)","(955.3192454911124, 590.7115422992457, 0)","(492.5608195117719, 1474.6643678319576, 0)","(291.5207263775631, 24.154965863363472, 0)","(1053.2046698583558, 869.8920022905381, 0)","(605.7201068198443, 951.1362406510747, 0)","(180.61684714925866, 425.49225015773845, 0)","(793.6945176421681, 362.9659145729506, 0)","(1339.490910552757, 108.88507177060853, 0)","(1231.5387107579745, 372.26034587950704, 0)","(1124.394476368079, 464.2648396259813, 0)","(445.10558638240593, 1182.1027564558105, 0)","(244.12837127326628, 413.02720040211045, 0)","(475.05313339827916, 188.13190089566626, 0)","(724.2209647140309, 1337.406678575801, 0)","(1334.7769312368525, 1297.017203249201, 0)","(802.5336892947707, 260.2815756029068, 0)","(1380.9438092531366, 1360.3623785993195, 0)","(931.2706716363539, 1494.5268690198886, 0)"
"(1127.8216028289812, 73.76336526780335, 0)","(450.9765618468878, 255.27906080909924, 0)","(958.3726511161028, 587.6452677374317, 0)","(497.6331327896944, 1469.1441015364283, 0)","(264.28441004988235, 29.097419821035633, 0)","(1067.3407889941177, 855.5524906779398, 0)","(608.9009881299153, 978.4708292671305, 0)","(176.09151554290892, 421.6962374319247, 0)","(776.3775607852903, 356.11467558927444, 0)","(1350.914992015599, 118.69287631101092, 0)","(1207.9903480379203, 368.92591885217263, 0)","(1145.0581214737756, 466.1830612293212, 0)","(470.7007357445792, 1174.1590373703202, 0)","(242.38896909535632, 410.8978888523522, 0)","(494.7852045193925, 182.95049502296013, 0)","(748.0891054900432, 1324.219190386633, 0)","(1357.8792289118965, 1287.4395953007006, 0)","(797.0639458259133, 254.7599908076886, 0)","(1364.1513780862995, 1362.1648870184358, 0)","(936.0095562214194, 1478.3669270850107, 0)"
"(1130.306333939932, 57.9072602110534, 0)","(431.37852570276067, 247.0298449563121, 0)","(953.543139413606, 591.6382437267977, 0)","(482.18370704264186, 1487.4470522198064, 0)","(244.3852836290911, 48.619792855580144, 0)","(1068.1965022888696, 852.3031680032398, 0)","(608.0940709169076, 982.213363011373, 0)","(163.0552579327306, 411.81238158983695, 0)","(787.6932658347989, 343.8596098119366, 0)","(1341.3031905547705, 99.89311642514654, 0)","(1204.5552125717556, 353.71711883345745, 0)","(1147.7009154959414, 466.11722383941384, 0)","(459.1979880143814, 1163.5072221740438, 0)","(247.41053588134238, 418.4228266316709, 0)","(483.1279959776242, 188.5700724298158, 0)","(746.2101707362934, 1321.6971976447567, 0)","(1357.3461097563434, 1278.187697946794, 0)","(788.0909275966198, 267.7667648566759, 0)","(1368.456482253878, 1390.9729810253168, 0)","(928.2924349733233, 1474.7782854282182, 0)"
