0,1,2,3,4,5,6,7,8,9,10,11
"(144.4415208640379, 0.41265401343103525, 0)","(100.52389308743116, 4.410394255589573, 0)","(26.68527258486867, 64.69624386405991, 0)","(54.1393838553404, 0.41923137968937474, 0)","(160.7300171455578, 15.563008078569705, 0)","(25.571452781944746, 60.579977850099674, 0)","(63.20418858707352, 27.174500988387237, 0)","(176.62147032711496, 31.739059742597597, 0)","(57.54762348431394, 11.124280015282858, 0)","(20.66133899774078, 135.8369302322449, 0)","(85.92255306417702, 44.81295188918834, 0)","(61.04506427189743, 30.46540555256204, 0)"
"(145.08754170596316, 0.5561309007255857, 0)","(104.31892203887647, 8.367759876859658, 0)","(24.89592137473243, 63.13071070163569, 0)","(50.33551204908694, 9.069910586403585, 0)","(153.25501398930845, 15.901444377641798, 0)","(21.68308105666946, 71.92828384041877, 0)","(63.77752762245857, 28.710362730284157, 0)","(177.7127464272836, 33.71160248487833, 0)","(59.50464519189378, 8.916323238598864, 0)","(13.628939635036346, 145.11593203058098, 0)","(89.31233030938706, 36.78392285501933, 0)","(54.942184476547, 11.72844279200632, 0)"
"(143.45678436507345, 3.6363872606504946, 0)","(104.2522399087827, 20.00338905748506, 0)","(32.3710361121583, 74.41835624905036, 0)","(44.33339615154842, 2.4240667835026573, 0)","(152.60993856787147, 21.08331111757676, 0)","(33.86837677255615, 69.00282249109667, 0)","(63.36709440205881, 31.242068039617706, 0)","(169.1510820336274, 37.53134064368198, 0)","(73.20557744048145, 2.046304123765249, 0)","(18.165634657968408, 144.26560021153043, 0)","(93.79749587445286, 39.571597714136495, 0)","(51.055111295155776, 27.159942682540162, 0)"
"(157.12984133923635, 5.468437299687765, 0)","(89.23597463367211, 30.327091731824094, 0)","(16.96093789774565, 75.16790386276172, 0)","(29.870541229586962, 7.438443856933875, 0)","(140.97517877372803, 27.490218894820746, 0)","(20.915563340021073, 82.17061354927469, 0)","(56.6838905650484, 32.5138953021786, 0)","(163.4172208764789, 28.369275342854685, 0)","(80.8391890027024, 5.772860755283892, 0)","(14.274217518086125, 142.4878323115994, 0)","(104.91085741672231, 50.64781141340775, 0)","(36.25320087378884, 19.609007569614043, 0)"
"(159.1955467014863, 2.254478382252632, 0)","(89.45198325990269, 34.888671280540215, 0)","(15.888696782001826, 75.53544477028417, 0)","(12.27031841068883, 11.97414363968507, 0)","(152.21245760906817, 23.269946790607648, 0)","(17.688671600001587, 79.86298694170281, 0)","(57.52942482028233, 31.838862604949355, 0)","(153.25912317708307, 12.761541371990132, 0)","(78.9904986033528, 10.140366124945167, 0)","(11.78747560846902, 144.27472041511027, 0)","(108.86349095895359, 52.4460001323916, 0)","(33.19163477900393, 19.298682386624655, 0)"
"(159.11170132939947, 1.6883052839038188, 0)","(77.06344757873643, 40.35684262530371, 0)","(23.172216401262602, 63.06346782512274, 0)","(17.532738342374035, 9.446047752349738, 0)","(137.82354403631405, 14.8310788535728, 0)","(18.609791726729615, 78.2032226677097, 0)","(66.25617850272637, 26.80824700432268, 0)","(165.5118788020564, 13.308597623546007, 0)","(62.77101376635661, 5.465856741530037, 0)","(3.69207995471848, 131.70930233593901, 0)","(106.90119388949077, 37.29774542513, 0)","(33.10158427400229, 19.283898380560363, 0)"
"(162.9388424524076, 5.836116540655123, 0)","(79.6157877143199, 55.930052921937445, 0)","(31.204834067965763, 69.81462386380113, 0)","(17.430150498475403, 4.978807948714342, 0)","(130.60502534729682, 18.195214247128572, 0)","(35.14568717678821, 73.67684046032971, 0)","(76.4937936164375, 30.428806542695888, 0)","(154.1905852118664, 20.35687518664512, 0)","(70.81044932477133, 23.417390094063137, 0)","(15.373961661432867, 116.40140057047714, 0)","(111.32681570920752, 36.88686977368189, 0)","(32.56000802298621, 18.560756167335843, 0)"
"(161.45585345187504, 6.224775441378977, 0)","(79.47281654636309, 55.75249191310209, 0)","(29.652102099553158, 77.30054086719181, 0)","(20.48556503490677, 0.33615047045390245, 0)","(124.03598896973703, 29.451857414254835, 0)","(25.534388804286174, 67.52499540833057, 0)","(81.66928436350078, 27.835022735774285, 0)","(156.04459613086095, 32.57968258358116, 0)","(68.64769510435066, 19.77583783392371, 0)","(25.791422052134756, 108.96160031553063, 0)","(111.57899066329566, 23.035637601746707, 0)","(51.16498809187725, 24.659233190784693, 0)"
"(166.1482948243394, 12.202758846770692, 0)","(86.61668907402408, 72.19511829522234, 0)","(29.401807480546285, 75.79418341679728, 0)","(27.48249429705878, 4.5824616263646405, 0)","(127.46322453225233, 26.514308121574725, 0)","(26.57665391881717, 64.06024358729356, 0)","(83.10022942219223, 27.147414045750626, 0)","(150.40677231311346, 35.7039587686688, 0)","(74.21444100975937, 28.57361815619568, 0)","(23.967988195773316, 103.45847165753382, 0)","(112.23921484886887, 23.492919346825644, 0)","(53.988461147411115, 28.900292301095377, 0)"
"(166.27987781071565, 11.927768326469668, 0)","(88.39383099632242, 89.49411604913406, 0)","(21.627796475973128, 79.54363916003805, 0)","(18.464095397760644, 0.03861277511986305, 0)","(129.34438104082452, 32.572802269650985, 0)","(22.285022725156175, 57.39393427943843, 0)","(86.98882550733438, 44.7877409827271, 0)","(158.79567549512402, 38.40342371281624, 0)","(85.45928272642347, 24.234006394349677, 0)","(25.03915290582868, 104.82772956111704, 0)","(126.20699183240514, 18.03435594329809, 0)","(44.629567332788675, 25.762743802158212, 0)"
