UAV Connections,GU Capacity
"{0: [2], 1: [3], 2: [0], 3: [2], 4: [1], 5: [3], 6: [1], 7: [2], 8: [0], 9: [0], 10: [0]}","{0: 4858919109.853034, 1: 4855059449.338721, 2: 3.896762676646666, 3: 5173505462.361405, 4: 3567652849.2310934, 5: 5563147149.684092, 6: 3445729749.9544477, 7: 3606154563.227566, 8: 3.5958802023718666, 9: 5.5617615357349, 10: 6.662867955345148}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0]}","{0: 5961994626.694049, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 5224607387.7972765, 5: 4871314759.913444, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 4260383932.6026955, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955, 12: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [0], 5: [4], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0], 13: [0], 14: [0]}","{0: 6145779398.049793, 1: 5885750737.637794, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 4260383932.6026955, 5: 3.0546814773867235, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 4260383932.6026955, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955, 12: 4260383932.6026955, 13: 4260383932.6026955, 14: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0], 12: [0]}","{0: 5687115345.274601, 1: 5437260308.481193, 2: 4546972073.02099, 3: 5550687586.4840145, 4: 4622722927.261928, 5: 5538722905.667755, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 4260383932.6026955, 9: 4260383932.6026955, 10: 4260383932.6026955, 11: 4260383932.6026955, 12: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1], 7: [0], 8: [1], 9: [2], 10: [1]}","{0: 4914863361.969889, 1: 4486944566.745339, 2: 3768478249.239668, 3: 4191267193.5335774, 4: 3990468119.89331, 5: 26.5384006138738, 6: 3141918078.2742324, 7: 5.013453447072026, 8: 3142956403.8953924, 9: 3979698355.899344, 10: 3005089227.70329}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0], 8: [0]}","{0: 6179289415.294241, 1: 5779544597.595051, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 5238706815.377781, 5: 5269414315.836105, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [0], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0]}","{0: 5959563268.682095, 1: 5758486131.920708, 2: 4260383932.6026955, 3: 5222244956.618764, 4: 5943103671.2048645, 5: 4814718699.113143, 6: 4260383932.6026955, 7: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [0], 7: [0], 8: [0], 9: [0]}","{0: 5012331004.063042, 1: 5079491893.932424, 2: 4632896549.745975, 3: 5264650737.525635, 4: 4803907236.89543, 5: 5810371590.467386, 6: 4260383932.6026955, 7: 4260383932.6026955, 8: 4260383932.6026955, 9: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [1], 3: [1], 4: [1], 5: [3], 6: [0], 7: [1]}","{0: 4624993681.265211, 1: 4319764445.688396, 2: 4462892427.764549, 3: 4595851571.274453, 4: 4409117057.592224, 5: 5563147149.684092, 6: 3.377035878894063, 7: 2818188897.1460595}"
"{0: [1], 1: [3], 2: [1], 3: [2], 4: [1], 5: [3]}","{0: 6161674078.750756, 1: 5885750737.637794, 2: 5950304246.09698, 3: 5222244956.618764, 4: 5950599864.585129, 5: 5294729095.464721}"
"{0: [1], 1: [3], 2: [1], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0]}","{0: 6181149809.612595, 1: 5885750737.637794, 2: 5865979929.592595, 3: 5222244956.618764, 4: 5709081434.078316, 5: 5555253807.495104, 6: 4260383932.6026955, 7: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [1], 3: [1], 4: [1], 5: [3]}","{0: 4825023597.775745, 1: 4260383932.6026955, 2: 5591437801.262932, 3: 5440163821.28271, 4: 4638720037.306976, 5: 6167112202.731971}"
"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [3], 6: [0]}","{0: 4551523330.0984335, 1: 3627817216.5708737, 2: 4559486100.703248, 3: 4730279564.983076, 4: 5110961539.334439, 5: 5563147149.684092, 6: 2.430941342986807}"
"{0: [1], 1: [3], 2: [2], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0]}","{0: 6092822075.129656, 1: 5414572482.964912, 2: 5222244956.618764, 3: 5222244956.618764, 4: 5810050665.206225, 5: 5444334744.076387, 6: 4260383932.6026955, 7: 4260383932.6026955}"
"{0: [1], 1: [3], 2: [2], 3: [2], 4: [1], 5: [3], 6: [0], 7: [0]}","{0: 5917922159.371978, 1: 5208454815.4288025, 2: 5222244956.618764, 3: 5222244956.618764, 4: 5825715725.050665, 5: 5314243751.57024, 6: 4260383932.6026955, 7: 4260383932.6026955}"
"{0: [1], 1: [0], 2: [1], 3: [1], 4: [1], 5: [3], 6: [1]}","{0: 5153083063.863918, 1: 4260383932.6026955, 2: 5263948508.144166, 3: 5237211799.031617, 4: 5056439384.984171, 5: 6171873808.949719, 6: 4163176924.4777174}"
