0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(196.00938458336668, 158.43669867767608, 0)","(123.70278198291969, 131.41131653987676, 0)","(183.4369550601721, 82.99114322563157, 0)","(10.652633032881074, 107.32010100440719, 0)","(51.915909519048775, 153.49762349212097, 0)","(14.991308509117278, 80.65569339522152, 0)","(24.525090723173548, 77.94000626422404, 0)","(187.49496863131463, 172.64052461391853, 0)","(195.5774078679308, 66.29926835764059, 0)","(73.81109308358657, 97.48909815467128, 0)","(66.87070065482615, 92.77068854424851, 0)","(14.71005689352509, 146.02359260671966, 0)","(177.57927048202365, 45.556617874807415, 0)","(142.2762592155489, 96.59169558270972, 0)","(2.571241075033953, 87.90999045872236, 0)","(37.59760318350848, 26.656360503787102, 0)","(128.51381130842938, 17.549736957195936, 0)","(197.33137411605867, 62.75824229895583, 0)","(47.99235752128258, 125.83927036095126, 0)","(115.6780270922276, 127.07887059224751, 0)"
"(194.38253792894383, 157.42203008485245, 0)","(113.02016510937123, 127.277245941516, 0)","(177.37924082412925, 104.60044230488712, 0)","(3.5895808209254696, 104.74824746909418, 0)","(47.51903031284333, 159.75383850279772, 0)","(26.564868032734086, 80.03269610418776, 0)","(19.877322590613755, 77.72915579305813, 0)","(195.14245972813126, 193.8838676324148, 0)","(178.53915986257852, 47.399695578416456, 0)","(65.88981581349915, 101.01434266500522, 0)","(64.47989125916358, 91.98865768935795, 0)","(19.266063866105824, 135.7987500975805, 0)","(193.20591659118531, 67.74750816543126, 0)","(149.31764617690075, 80.23315523921275, 0)","(12.23908881937148, 76.63075231756898, 0)","(34.06997528815878, 2.180480782034948, 0)","(150.66013575858378, 14.408772201267633, 0)","(182.3527859531443, 80.52793579238676, 0)","(47.33495651840432, 122.56752264447863, 0)","(119.45052938245108, 114.86749025077475, 0)"
"(180.21530235101093, 182.49758288618708, 0)","(139.28624745971777, 119.48667700941817, 0)","(166.42499918380747, 115.10862379448899, 0)","(8.63141044721179, 103.76670088783807, 0)","(36.74541077216533, 143.8734888125751, 0)","(33.76702515891527, 83.94828965643943, 0)","(23.837132582098555, 77.79876795953143, 0)","(187.23530870888385, 183.3362605193597, 0)","(178.55552705934264, 47.37719395573928, 0)","(61.80661465293388, 96.29058212907165, 0)","(77.81508044326702, 99.85451761214465, 0)","(32.44450179222829, 145.63213323571432, 0)","(197.4977482329512, 73.50678174479668, 0)","(143.27335099404564, 76.00391370383402, 0)","(14.592277439798128, 78.05918104130495, 0)","(25.84237711922113, 6.126029730344605, 0)","(150.63435336271945, 14.368411329729344, 0)","(176.7052410302499, 58.80424158269132, 0)","(62.63156344408698, 116.69527933004929, 0)","(119.59943280875498, 118.9890521234609, 0)"
"(174.94213242660888, 178.41889532152024, 0)","(125.01345392910848, 130.45853055572198, 0)","(146.18139116757456, 115.5059237176753, 0)","(20.955219600768622, 122.0136266728366, 0)","(19.77543996971681, 147.10771634484212, 0)","(21.796873640981374, 73.92959507880586, 0)","(33.13729253348242, 67.06776151646173, 0)","(194.40261588067708, 158.42431261088117, 0)","(158.83686021605084, 40.544654751284575, 0)","(50.122996670305575, 91.99625998131188, 0)","(76.88199480895169, 100.59041680139697, 0)","(43.012344370811455, 125.15690503728472, 0)","(198.69428174911312, 88.89912713230683, 0)","(155.73319845242423, 84.26466297908722, 0)","(13.826705065801384, 80.5955876277581, 0)","(28.102509549309325, 1.9689874824941374, 0)","(150.95198492058157, 14.570071643460142, 0)","(176.6793247803184, 58.85615023999812, 0)","(44.99701525912076, 94.20135432515582, 0)","(106.96683269166081, 124.44396077530298, 0)"
"(175.7849194464862, 189.47696695546958, 0)","(124.97860250413915, 130.4647667611404, 0)","(160.34284920746623, 117.59232285869244, 0)","(23.245281676800317, 126.26730186711544, 0)","(14.183084407978608, 143.0704132727693, 0)","(22.29353937650004, 93.88648327612057, 0)","(10.770558397176949, 82.98741357064932, 0)","(197.37581001276143, 138.09761685626364, 0)","(151.67897564608145, 45.485489502236014, 0)","(28.033537119696856, 103.02209879672506, 0)","(76.48686785060578, 95.47658545979274, 0)","(20.647347363799714, 123.90945291323388, 0)","(195.4066658816082, 65.25502046819085, 0)","(143.25772110256707, 81.69926525026607, 0)","(13.51076444569126, 80.04290008227912, 0)","(35.581088555322715, 1.5367703326400157, 0)","(150.0867594180169, 0.042260228581875836, 0)","(175.70362675076086, 51.36989940778106, 0)","(38.882221171854106, 89.66858596448199, 0)","(121.68394855964257, 127.84134861797376, 0)"
"(179.36083365609827, 187.20350549174583, 0)","(139.0414707136978, 133.94240633948013, 0)","(137.8663035688615, 131.95294011780618, 0)","(28.39143705826189, 119.96419785460766, 0)","(18.193884208209212, 141.63112711991062, 0)","(6.33884201254101, 97.74357082406632, 0)","(33.423130214345846, 72.3477016989438, 0)","(181.23391000872633, 144.6834671449645, 0)","(151.20495812407856, 44.22897842233085, 0)","(24.37081190012803, 106.55117029324121, 0)","(74.93936133574643, 99.34099457536652, 0)","(25.698025440331048, 129.34272789227677, 0)","(186.130330825758, 64.29472837672095, 0)","(143.35842222552097, 83.05082682558385, 0)","(0.8198042991504817, 78.6546151076116, 0)","(31.130216560341037, 5.804134376790953, 0)","(153.31583930206378, 6.563009009388908, 0)","(187.02573152084227, 45.209407415821545, 0)","(45.27076237634457, 96.71195076278387, 0)","(108.76959212592149, 137.96470491626687, 0)"
"(178.92247831757152, 179.7352985793822, 0)","(134.4360598490131, 123.34934030606664, 0)","(133.20540362032926, 119.44767763402939, 0)","(23.463293962313045, 114.16149916175434, 0)","(10.837497617340864, 126.64945324113444, 0)","(7.529548399054445, 100.91859438341876, 0)","(33.312370852403944, 99.42007967058721, 0)","(187.451356488077, 173.65494814944933, 0)","(150.95443728356042, 35.99236380863074, 0)","(39.77021740888349, 127.24633498022625, 0)","(68.8204576401009, 94.63650085781018, 0)","(25.73246312689041, 126.21292727217148, 0)","(194.06484856523056, 68.71186809836375, 0)","(153.48790296444858, 76.80498655700316, 0)","(14.208104285449979, 88.3449608139411, 0)","(34.94996404529893, 0.506920017670323, 0)","(134.15748733971662, 12.734468856808334, 0)","(175.2066672800291, 47.2350275444964, 0)","(66.06848937250685, 87.3293349940163, 0)","(116.48234138075662, 136.34614526417337, 0)"
"(178.4572096288788, 179.3999323868687, 0)","(126.24567074635107, 121.12768949209841, 0)","(127.829547003107, 113.52112393879074, 0)","(9.7238377348967, 95.34795259670304, 0)","(8.851509529148801, 122.88576312250821, 0)","(7.068395400174288, 85.75127690358354, 0)","(26.217186760361503, 113.27016880576157, 0)","(189.8866963648521, 163.95900625215916, 0)","(152.08145800846526, 35.90635447529928, 0)","(34.963406144769905, 125.02864430426521, 0)","(62.55645182259732, 105.2580550850164, 0)","(28.10858831646511, 128.05780461351642, 0)","(191.0393627597839, 75.08366304336808, 0)","(158.0449074851386, 96.38225562804475, 0)","(15.883881219391226, 88.14462769709206, 0)","(15.67817251995087, 17.645836932177247, 0)","(126.90960899066631, 0.4733745738130235, 0)","(172.58569930391786, 50.03153219593898, 0)","(78.70276499174724, 74.00464810984057, 0)","(112.00718123157533, 127.12907681471592, 0)"
"(180.33410125674797, 181.37457415717256, 0)","(120.41990262528148, 119.2953831349655, 0)","(146.98890983719403, 95.87572601902406, 0)","(25.242634623850005, 92.86274330522545, 0)","(26.925346918726248, 138.0526335896513, 0)","(3.9125367316464743, 85.86524368361964, 0)","(2.5776163140494646, 121.30606214751835, 0)","(182.14020649293028, 159.34651357056623, 0)","(152.0643929142058, 34.7699812486865, 0)","(37.92156194865747, 134.32341165412728, 0)","(72.30021182048955, 113.08158896266421, 0)","(12.456475946253576, 128.3262977605206, 0)","(186.2387964041599, 96.51316438571912, 0)","(151.43710809636693, 112.64392736938441, 0)","(4.709666734985799, 84.81616176967167, 0)","(32.02400367299002, 37.740978806159845, 0)","(125.88423925733497, 3.2028865158761914, 0)","(187.3956694480064, 69.35005223975523, 0)","(83.80899665170773, 66.27185123462414, 0)","(112.59381200855266, 128.23160913432707, 0)"
"(179.99937299274137, 158.6234238170771, 0)","(124.03030896218536, 120.65083474516223, 0)","(142.18707206311322, 89.16499688171396, 0)","(51.01790933016022, 93.86537466267781, 0)","(29.136702508953633, 122.60547105996832, 0)","(9.301385405877046, 74.49295599068746, 0)","(9.425096205854182, 118.56300896364954, 0)","(190.2160308360401, 163.36841561212918, 0)","(164.70939442183695, 36.254858254360265, 0)","(22.187805470899576, 137.6468337984207, 0)","(70.02578793190547, 114.85593232579674, 0)","(13.351655620741449, 138.46199712732476, 0)","(183.52749344397392, 92.87226926250949, 0)","(163.57080555321065, 97.79484899757453, 0)","(10.44338164049255, 82.0276964321287, 0)","(55.227468485948364, 32.917934762897445, 0)","(123.04681501168643, 7.114517649838703, 0)","(193.7286470782658, 81.17232428061607, 0)","(82.53955800135611, 67.8938105133797, 0)","(112.87526333926913, 123.58956405257416, 0)"
