GU Position,UAV Position,State,UAV Connections,GU Capacity
"((53.492854501578016, 163.70789129369825, 0.0), (100.53595800413645, 95.78112815243, 0.0), (61.29062242734639, 6.013969831370472, 0.0), (92.98554368034473, 25.09096323524884, 0.0), (103.16712149418828, 73.86119006828592, 0.0), (36.364859514953665, 56.519997765928295, 0.0), (162.5164515580282, 22.38460852141251, 0.0), (177.9294377523106, 25.47170486240912, 0.0), (38.17612043167057, 157.59980529269, 0.0), (10.904954523880328, 22.409121702061565, 0.0), (22.437501876582076, 11.889703455694885, 0.0), (17.976080752857783, 9.338995943328651, 0.0))","((20, 25, 50), (15, 45, 50), (135, 10, 50), (80, 30, 50), (80, 15, 50))",111111000110011011111,"{0: [1], 1: [3], 2: [4], 3: [3], 4: [3], 5: [1], 6: [2], 7: [2], 8: [1], 9: [0], 10: [0], 11: [0]}","{0: 3466056030.587148, 1: 4226640759.925692, 2: 4226640759.925692, 3: 4226640759.925692, 4: 4226640759.925692, 5: 4226640759.925692, 6: 5761837148.311734, 7: 5344865745.657259, 8: 3650562649.63501, 9: 4226640759.925692, 10: 4226640759.925692, 11: 4226640759.925692}"
"((50.47045362574699, 147.1902729859779, 0.0), (101.54238664650175, 82.1338069413372, 0.0), (55.56986259470364, 32.43160851781927, 0.0), (109.35445220307201, 28.82102175726844, 0.0), (74.70328753334168, 81.26351429163483, 0.0), (23.518595087445732, 56.15807731314058, 0.0), (158.6476307911835, 22.80743713787897, 0.0), (168.5343261665479, 52.88358775592023, 0.0), (25.887752304045186, 162.0386010784709, 0.0), (11.009322677827818, 22.63032715590684, 0.0), (5.739153652050032, 30.39257938112865, 0.0), (21.386135124516557, 3.6676656076894503, 0.0))","((110, 25, 50), (130, 125, 55), (80, 30, 50), (80, 35, 50), (55, 15, 50))",111101000110011011101,"{0: [1], 1: [3], 2: [4], 3: [0], 4: [3], 5: [4], 6: [0], 7: [0], 8: [1], 9: [4], 10: [4], 11: [4]}","{0: 4282120984.4378333, 1: 4203532344.634272, 2: 4203532344.634272, 3: 4203532344.634272, 4: 4203532344.634272, 5: 4203532344.634272, 6: 4203532344.634272, 7: 4203532344.634272, 8: 3691767700.6893477, 9: 4203532344.634272, 10: 4203532344.634272, 11: 4203532344.634272}"
"((48.60983023251614, 150.29385878947116, 0.0), (104.89097930765189, 95.09574827041077, 0.0), (41.901694211051904, 10.421944945876671, 0.0), (116.30575151113436, 20.682031969611334, 0.0), (74.07838745286784, 81.73367863148049, 0.0), (25.88791278071536, 55.56800914896878, 0.0), (144.10017765112377, 7.579885340509728, 0.0), (166.28531396015615, 58.252543408151375, 0.0), (34.7612859374142, 139.9834403962146, 0.0), (2.2468406036770023, 30.10583843796464, 0.0), (30.213967019353127, 42.520399685532524, 0.0), (31.104070612706288, 1.8640191053453345, 0.0))","((125, 140, 55), (95, 50, 50), (130, 30, 55), (80, 15, 50), (75, 0, 55))",111111000110011011001,"{0: [0], 1: [1], 2: [3], 3: [2], 4: [1], 5: [4], 6: [2], 7: [2], 8: [0], 9: [3], 10: [3], 11: [4]}","{0: 4409978012.534748, 1: 4401026704.247277, 2: 4226640759.925692, 3: 5808506647.458539, 4: 4401026704.247277, 5: 3204664702.6816797, 6: 5636483417.240907, 7: 5183532762.118932, 8: 4109775795.941327, 9: 4226640759.925692, 10: 4226640759.925692, 11: 3204664702.6816797}"
"((57.04835401075455, 140.61583912215568, 0.0), (95.9789913019521, 87.22852301301971, 0.0), (41.65537416920316, 10.596516122151055, 0.0), (104.26791329639298, 18.722193112814328, 0.0), (75.37623545327152, 84.85782837939892, 0.0), (8.66537601783764, 71.89336716983469, 0.0), (163.4011003326777, 18.725094697751942, 0.0), (160.06155999830492, 45.50502931650692, 0.0), (23.518540744850473, 155.61602178218197, 0.0), (9.528498781279158, 29.889127018335657, 0.0), (18.62143927405385, 33.68990943478808, 0.0), (40.29640069439942, 13.905978167947389, 0.0))","((125, 135, 50), (90, 50, 50), (130, 30, 55), (80, 15, 50), (70, 5, 55))",010011100111111011101,"{0: [0], 1: [1], 2: [4], 3: [3], 4: [1], 5: [4], 6: [2], 7: [2], 8: [0], 9: [4], 10: [4], 11: [4]}","{0: 4722954446.747012, 1: 5564330915.322032, 2: 5459218865.9998045, 3: 5808506647.458539, 4: 5561736519.959462, 5: 4098431058.9214463, 6: 5445024006.83357, 7: 5477999159.413769, 8: 3881343368.197723, 9: 4693704344.229505, 10: 4857883611.434979, 11: 5459218865.9998045}"
"((61.79602048787143, 113.08926448860106, 0.0), (111.1177243589197, 72.52030386087094, 0.0), (23.287282750063426, 29.80763697989679, 0.0), (91.91981869642001, 14.415088855070483, 0.0), (57.14582415710939, 88.06274894492978, 0.0), (7.850693337249818, 63.06771226456182, 0.0), (162.48170263209465, 2.4052521669616134, 0.0), (189.28113188248403, 49.94119308011402, 0.0), (29.21088326671692, 143.47072787570914, 0.0), (12.882981037460306, 29.637494174179782, 0.0), (29.535870208695798, 30.690320373484425, 0.0), (37.80382326705475, 20.30072537075725, 0.0))","((125, 155, 50), (125, 20, 55), (85, 5, 50), (0, 45, 50), (85, 5, 55))",001011010111011111110,"{0: [0], 1: [1], 2: [3], 3: [2], 4: [0], 5: [3], 6: [1], 7: [1], 8: [0], 9: [3], 10: [3], 11: [3]}","{0: 4524474106.532057, 1: 4972493905.089871, 2: 4363496702.376253, 3: 4363496702.376253, 4: 4060033665.100799, 5: 4363496702.376253, 6: 5297437127.288259, 7: 4557961551.090233, 8: 4034110916.281798, 9: 4363496702.376253, 10: 4363496702.376253, 11: 4363496702.376253}"
"((61.84615164766876, 107.9125511844794, 0.0), (115.8434724522063, 75.75659420768629, 0.0), (13.246295634519203, 52.13238846913411, 0.0), (116.92014746461253, 20.547167710077883, 0.0), (48.48785391267049, 89.27356777066652, 0.0), (13.606393495469197, 36.647623247606845, 0.0), (160.02224598415555, 1.6988700988980447, 0.0), (189.10436010249578, 46.975876033725804, 0.0), (17.724100019194186, 159.6729407230636, 0.0), (38.218758471578354, 13.851050073175951, 0.0), (4.778108380978011, 37.84400579304151, 0.0), (18.917951456080868, 13.621348240155719, 0.0))","((20, 30, 50), (10, 45, 50), (5, 45, 50), (135, 20, 55), (95, 30, 50))",110011100111011001110,"{0: [1], 1: [4], 2: [1], 3: [4], 4: [2], 5: [1], 6: [3], 7: [3], 8: [1], 9: [0], 10: [2], 11: [0]}","{0: 3828909131.659402, 1: 4593343017.700678, 2: 3828909131.659402, 3: 4593343017.700678, 4: 3828909131.659402, 5: 3828909131.659402, 6: 3504657239.6537995, 7: 3504657239.6537995, 8: 3651095353.8378325, 9: 3828909131.659402, 10: 3828909131.659402, 11: 3828909131.659402}"
"((40.372606731596974, 89.2929143133141, 0.0), (116.87994819284953, 80.35768085419038, 0.0), (7.063395254229941, 49.9049305239911, 0.0), (103.97193464317957, 9.93558970133078, 0.0), (48.28203556890149, 100.15039516202684, 0.0), (17.08784617524993, 43.149506076858316, 0.0), (176.88180076006122, 16.223641610296177, 0.0), (180.3245282261073, 56.083594416526644, 0.0), (15.834527005701798, 156.9275371275347, 0.0), (51.585864686389016, 3.2819671346765915, 0.0), (4.848373504822426, 36.56332462401743, 0.0), (19.946755680852295, 13.087412343486758, 0.0))","((20, 20, 50), (10, 40, 50), (20, 40, 50), (130, 30, 55), (115, 35, 50))",000111001110111110111,"{0: [2], 1: [4], 2: [1], 3: [4], 4: [2], 5: [2], 6: [3], 7: [3], 8: [2], 9: [0], 10: [1], 11: [0]}","{0: 4397224990.337072, 1: 5351470858.800474, 2: 4124220235.435855, 3: 5808506647.458539, 4: 4397224990.337072, 5: 4397224990.337072, 6: 5111013325.205668, 7: 4912646708.868832, 8: 3611190745.10731, 9: 4367201695.11616, 10: 4124220235.435855, 11: 4367201695.11616}"
"((66.0699300098297, 93.98161960999215, 0.0), (113.98146851265878, 75.47687709328783, 0.0), (7.289131016500566, 45.09947246573117, 0.0), (100.49388093897007, 1.9141986897987167, 0.0), (65.2025132546818, 124.28138982069862, 0.0), (12.83358084053953, 42.13871008727347, 0.0), (168.662335351084, 44.20122689635312, 0.0), (169.739617031322, 31.327782000260264, 0.0), (16.09513577819591, 153.11388773245554, 0.0), (60.42213255166206, 11.80484998625294, 0.0), (26.390671625485098, 51.92769221550532, 0.0), (30.66754386218276, 12.761694406546217, 0.0))","((130, 20, 50), (20, 30, 50), (15, 40, 50), (90, 35, 50), (80, 15, 50))",100011111110011010110,"{0: [3], 1: [3], 2: [2], 3: [4], 4: [3], 5: [2], 6: [0], 7: [0], 8: [2], 9: [4], 10: [2], 11: [1]}","{0: 4412498366.177652, 1: 4412498366.177652, 2: 4412498366.177652, 3: 4412498366.177652, 4: 4119787145.9954715, 5: 4412498366.177652, 6: 5345429291.083963, 7: 5465052396.874556, 8: 3686560379.8954725, 9: 4412498366.177652, 10: 4412498366.177652, 11: 4412498366.177652}"
"((76.7953442707732, 94.28174619399803, 0.0), (104.16657925428201, 84.57560554722454, 0.0), (5.824730086258105, 36.50391788323178, 0.0), (101.73048538845946, 27.862835791191408, 0.0), (83.82549543734687, 143.15224778096322, 0.0), (16.353650599619677, 48.813231084996275, 0.0), (179.13175981866928, 43.37514229027649, 0.0), (178.11429150835932, 5.455511957977084, 0.0), (18.196209328009978, 139.22823361300195, 0.0), (33.56074604404034, 20.19543098217585, 0.0), (20.415599896259728, 79.03252390236, 0.0), (24.130774320322402, 10.840806490180833, 0.0))","((85, 30, 50), (130, 20, 50), (5, 45, 50), (15, 45, 50), (0, 45, 50))",100011111110011011111,"{0: [0], 1: [0], 2: [2], 3: [0], 4: [0], 5: [3], 6: [1], 7: [1], 8: [3], 9: [3], 10: [3], 11: [3]}","{0: 4813204945.95143, 1: 5003282407.993331, 2: 3778721082.148869, 3: 6029011771.391974, 4: 3685789883.933701, 5: 3876117513.087325, 6: 5098739397.428779, 7: 5214816090.813248, 8: 3876117513.087325, 9: 3876117513.087325, 10: 3876117513.087325, 11: 3876117513.087325}"
"((77.90256731715925, 86.74880296346387, 0.0), (97.37134371784224, 78.30433581939783, 0.0), (5.389916355119528, 34.723281453179666, 0.0), (111.5048969124279, 50.418090139720164, 0.0), (86.01702722697758, 140.5849205579305, 0.0), (25.565051390620077, 47.25694474508912, 0.0), (185.17311071363366, 46.30208579241678, 0.0), (173.85831469489858, 11.665775281503802, 0.0), (16.04330120510196, 132.67772986515013, 0.0), (28.298985209478868, 47.177205960402574, 0.0), (10.849362006182009, 107.45764864833157, 0.0), (11.217916523508533, 0.27513783325579766, 0.0))","((135, 20, 55), (85, 30, 50), (15, 25, 50), (15, 45, 50), (20, 35, 50))",111111000110011011111,"{0: [1], 1: [1], 2: [2], 3: [1], 4: [1], 5: [3], 6: [0], 7: [0], 8: [3], 9: [3], 10: [3], 11: [2]}","{0: 5021347314.322323, 1: 5226080852.69053, 2: 3762430389.376378, 3: 5677708352.679213, 4: 3736795604.636279, 5: 3876117513.087325, 6: 4913490230.992832, 7: 5338090307.455818, 8: 3876117513.087325, 9: 3876117513.087325, 10: 3876117513.087325, 11: 3762430389.376378}"
"((96.06718412314981, 96.20608426542908, 0.0), (77.5402845834969, 83.80858246993438, 0.0), (7.314815562424396, 51.75880106571076, 0.0), (106.35177524058452, 29.27745716782821, 0.0), (82.17267515423389, 119.93006658524514, 0.0), (34.064849262212086, 48.10129923686493, 0.0), (191.96361700919275, 42.58931416859202, 0.0), (170.26312164273347, 13.78228001263571, 0.0), (21.779735503168748, 126.19410510875554, 0.0), (27.985588702856734, 47.263148872046486, 0.0), (24.091655586883455, 87.8037210808399, 0.0), (29.87466491997469, 0.7015812402250675, 0.0))","((135, 20, 55), (75, 60, 50), (160, 155, 55), (65, 0, 50), (80, 15, 50))",001101001100111110111,"{0: [1], 1: [1], 2: [3], 3: [4], 4: [1], 5: [3], 6: [0], 7: [0], 8: [2], 9: [3], 10: [2], 11: [3]}","{0: 4226640759.925692, 1: 4226640759.925692, 2: 4226640759.925692, 3: 4226640759.925692, 4: 4226640759.925692, 5: 4226640759.925692, 6: 4226640759.925692, 7: 4226640759.925692, 8: 3155686235.9568458, 9: 4226640759.925692, 10: 2996999485.04083, 11: 4226640759.925692}"
"((89.6408134719873, 88.23712502000213, 0.0), (105.2030714757903, 74.07706320077972, 0.0), (5.986482932461872, 51.37683926916659, 0.0), (103.80275230535977, 26.58219563791532, 0.0), (59.297545913600075, 119.97408500434612, 0.0), (33.13030239455928, 68.65403800596081, 0.0), (183.72450905902116, 49.9706649951382, 0.0), (177.3416975221422, 25.88297104611189, 0.0), (13.881156938653458, 107.36803418528802, 0.0), (29.266362271806514, 51.846195044845885, 0.0), (35.16190046517536, 97.44242215926063, 0.0), (45.432333553267995, 1.8851225039171178, 0.0))","((195, 70, 55), (10, 15, 50), (20, 15, 50), (85, 45, 50), (105, 25, 50))",100000111110111010110,"{0: [3], 1: [3], 2: [1], 3: [4], 4: [3], 5: [2], 6: [0], 7: [0], 8: [1], 9: [2], 10: [2], 11: [2]}","{0: 4689204401.895313, 1: 4689204401.895313, 2: 4689204401.895313, 3: 4949574032.675622, 4: 4438606684.803564, 5: 4689204401.895313, 6: 2554140556.0646477, 7: 2554140556.0646477, 8: 4124599713.365263, 9: 4689204401.895313, 10: 4326777309.543538, 11: 4689204401.895313}"
"((62.196476053529565, 83.85040907741161, 0.0), (99.3727525114864, 76.07261380865492, 0.0), (23.903052454411565, 34.564100838622636, 0.0), (84.1421354376868, 19.347045563845437, 0.0), (67.38129075041846, 121.01688648749357, 0.0), (37.292961828708, 52.99018800618394, 0.0), (189.25678071008988, 49.33524381597782, 0.0), (149.61644811929628, 32.89133935261372, 0.0), (14.150798260464912, 100.37721222790337, 0.0), (26.75302477767308, 43.312830263180764, 0.0), (31.799107455078428, 118.7083046241647, 0.0), (35.562137367616515, 20.27019921342472, 0.0))","((170, 120, 55), (125, 135, 50), (100, 45, 50), (40, 125, 50), (125, 170, 50))",111111000110011001110,"{0: [3], 1: [2], 2: [3], 3: [2], 4: [3], 5: [3], 6: [0], 7: [0], 8: [3], 9: [3], 10: [3], 11: [2]}","{0: 5313395275.192912, 1: 4593343017.700678, 2: 4138108281.3457866, 3: 4593343017.700678, 4: 5823356100.211985, 5: 4621340169.883513, 6: 4501580078.978346, 7: 4126880400.3032136, 8: 5618397640.789855, 9: 4352697246.80028, 10: 6143253401.76932, 11: 4593343017.700678}"
"((68.41530345297137, 103.3899534084896, 0.0), (82.65069293222597, 62.626671434973964, 0.0), (29.76398483197582, 28.83124038470225, 0.0), (92.12485799958438, 7.465202868711637, 0.0), (59.854117703015895, 94.31228953644319, 0.0), (23.400427875892447, 50.16670129998454, 0.0), (190.36628835617097, 52.20999249467689, 0.0), (149.9063056641481, 31.756543719783224, 0.0), (23.382040102981325, 108.03246142841414, 0.0), (44.11594669018335, 35.791910234805044, 0.0), (45.50361871462354, 133.03393426535303, 0.0), (45.74135900809007, 17.141685901905465, 0.0))","((135, 20, 55), (25, 40, 50), (25, 30, 50), (105, 35, 50), (90, 5, 50))",111111000110011011111,"{0: [3], 1: [3], 2: [2], 3: [4], 4: [3], 5: [1], 6: [0], 7: [0], 8: [1], 9: [1], 10: [1], 11: [2]}","{0: 4480981829.967477, 1: 5622800012.9571495, 2: 3987202458.966911, 3: 6188631147.0408125, 4: 4557522599.116912, 5: 3954457033.157735, 6: 4727048685.429373, 7: 5772306412.045895, 8: 3954457033.157735, 9: 3954457033.157735, 10: 3954457033.157735, 11: 3987202458.966911}"
"((77.25810052204842, 121.27518932242371, 0.0), (95.20846910457283, 46.03870512242185, 0.0), (36.4516794522227, 2.324861521387927, 0.0), (93.66544323770242, 5.38253369624241, 0.0), (56.544420338091584, 85.53181500927205, 0.0), (13.18397406670136, 31.298116982117502, 0.0), (194.5956446160417, 54.307742358959025, 0.0), (149.43757542277808, 33.20546366782555, 0.0), (4.5805631690185, 126.9807133951833, 0.0), (34.37097141272203, 43.132067910225345, 0.0), (24.65486426186911, 125.09271717343644, 0.0), (48.0366647370511, 9.56192722405589, 0.0))","((25, 30, 50), (10, 45, 50), (45, 115, 50), (110, 25, 50), (130, 20, 50))",000111001110100111110,"{0: [2], 1: [3], 2: [0], 3: [3], 4: [2], 5: [0], 6: [4], 7: [4], 8: [2], 9: [0], 10: [2], 11: [0]}","{0: 3606242402.247436, 1: 5869320122.584654, 2: 4115022672.3526673, 3: 5873701938.765187, 4: 3606242402.247436, 5: 4115022672.3526673, 6: 4593410229.9976425, 7: 5919187218.955926, 8: 3606242402.247436, 9: 4115022672.3526673, 10: 3606242402.247436, 11: 4115022672.3526673}"
