"((41.29086792322765, 2.302047533561911, 0.0), (4.2429051693605775, 144.2025521191326, 0.0), (195.84432639076655, 24.906948740036885, 0.0), (27.2183356511332, 41.082438218800036, 0.0), (152.1350077997169, 29.492447755950224, 0.0), (181.5410865702682, 128.91796938945703, 0.0), (139.94748497567682, 196.3756731741474, 0.0), (5.292545540577933, 101.50774711368263, 0.0), (163.1722616666219, 106.10051774840164, 0.0), (173.60440995238105, 126.5417824318069, 0.0), (65.44403623252111, 105.8692453149433, 0.0), (78.87912559977642, 117.1167408432196, 0.0), (150.13901795835568, 6.146644480437856, 0.0), (13.618948271829765, 103.43599253170387, 0.0), (170.35262542059868, 97.14239839855992, 0.0), (106.72921433857543, 3.748128339246136, 0.0), (85.9287106321205, 197.68466356335554, 0.0), (193.5903285859715, 123.91539227103614, 0.0), (189.52895627942166, 180.0141005279932, 0.0), (68.77023815508653, 145.2085975498067, 0.0))","((195, 190, 80), (0, 0, 80), (70, 115, 80), (100, 140, 80), (5, 50, 80))",000010011110100,"{0: [1], 1: [4], 2: [0], 3: [4], 4: [2], 5: [0], 6: [0], 7: [4], 8: [3], 9: [0], 10: [2], 11: [2], 12: [1], 13: [4], 14: [3], 15: [1], 16: [0], 17: [0], 18: [0], 19: [3]}","{0: 2715247547.7195697, 1: 2715247547.7195697, 2: 2677421235.410394, 3: 2715247547.7195697, 4: 0.4551947330995745, 5: 2783944177.674639, 6: 2783944177.674639, 7: 2715247547.7195697, 8: 2715247547.7195697, 9: 2783944177.674639, 10: 2715247547.7195697, 11: 2715247547.7195697, 12: 2715247547.7195697, 13: 2715247547.7195697, 14: 2715247547.7195697, 15: 2715247547.7195697, 16: 2783944177.674639, 17: 2783944177.674639, 18: 2783944177.674639, 19: 2715247547.7195697}"
"((16.710115366367067, 16.376643015389362, 0.0), (7.902113365070777, 167.77836568386476, 0.0), (196.3912224104195, 41.63551566138549, 0.0), (42.80838005685049, 17.73908077454007, 0.0), (144.20600008651212, 5.256218150944925, 0.0), (186.04832784707213, 136.58930509300828, 0.0), (123.91861902274299, 188.2887615002637, 0.0), (2.3821956332993253, 80.14489008424296, 0.0), (167.69840106332398, 106.97562025697835, 0.0), (173.60272532907, 123.96908219248868, 0.0), (61.558804331585364, 92.7692890904822, 0.0), (69.65218539402242, 102.49758728983396, 0.0), (148.8558151065233, 13.468706910651356, 0.0), (37.007085744173466, 101.86588738751678, 0.0), (179.29510774001164, 103.51137628831313, 0.0), (106.53233769128377, 4.103476555361489, 0.0), (83.59591232818805, 192.21549897252342, 0.0), (182.73589369877226, 108.30382244756163, 0.0), (199.8345023283758, 160.0515676868954, 0.0), (70.8703856125149, 145.9063934003038, 0.0))","((30, 90, 80), (80, 155, 80), (5, 15, 80), (180, 135, 80), (190, 0, 80))",110001100010111,"{0: [2], 1: [0], 2: [4], 3: [2], 4: [4], 5: [3], 6: [1], 7: [0], 8: [3], 9: [3], 10: [0], 11: [0], 12: [4], 13: [0], 14: [3], 15: [4], 16: [1], 17: [3], 18: [3], 19: [1]}","{0: 3766691914.568308, 1: 3766691914.568308, 2: 4537396560.8198, 3: 3766691914.568308, 4: 4479511202.4488325, 5: 3766691914.568308, 6: 3766691914.568308, 7: 3766691914.568308, 8: 3766691914.568308, 9: 3766691914.568308, 10: 3766691914.568308, 11: 3766691914.568308, 12: 4520633437.601294, 13: 3766691914.568308, 14: 3766691914.568308, 15: 3865157754.089937, 16: 3766691914.568308, 17: 3766691914.568308, 18: 3766691914.568308, 19: 3766691914.568308}"
"((17.010751163451054, 16.384871482556957, 0.0), (13.991893482663343, 154.70813966420482, 0.0), (196.62458322881199, 41.78350734049565, 0.0), (13.6362741878254, 18.32092590054646, 0.0), (157.7242638421893, 1.7695937178584327, 0.0), (172.81985404378054, 112.72790114686374, 0.0), (113.91163183826674, 190.3345409478664, 0.0), (0.005845531025634898, 90.91734718544659, 0.0), (178.3667570652246, 120.15838431840912, 0.0), (190.73074422575587, 132.01903180068894, 0.0), (72.54111178230582, 87.9893393259942, 0.0), (78.99710470519992, 109.79689808034192, 0.0), (150.73622308763592, 16.177127761211505, 0.0), (28.660138738800573, 94.39930114710683, 0.0), (183.19482154331524, 101.18445337542481, 0.0), (110.01006912905329, 5.634259703773537, 0.0), (72.77901640571062, 196.82866394591557, 0.0), (187.781050216025, 124.83088225368189, 0.0), (198.93791038650545, 169.77416915616254, 0.0), (94.62464711494255, 142.59195178445688, 0.0))","((195, 190, 80), (5, 0, 80), (40, 85, 80), (150, 10, 80), (70, 150, 80))",001011111010010,"{0: [1], 1: [2], 2: [0], 3: [1], 4: [3], 5: [0], 6: [4], 7: [2], 8: [0], 9: [0], 10: [2], 11: [2], 12: [3], 13: [2], 14: [0], 15: [3], 16: [4], 17: [0], 18: [0], 19: [4]}","{0: 3262839383.7811356, 1: 3262839383.7811356, 2: 2783944177.674639, 3: 3262839383.7811356, 4: 4849421796.088883, 5: 2783944177.674639, 6: 3262839383.7811356, 7: 3262839383.7811356, 8: 2783944177.674639, 9: 2783944177.674639, 10: 3262839383.7811356, 11: 3262839383.7811356, 12: 4868481662.143962, 13: 3262839383.7811356, 14: 2783944177.674639, 15: 4564027901.174896, 16: 3262839383.7811356, 17: 2783944177.674639, 18: 2783944177.674639, 19: 3262839383.7811356}"
"((16.906180245922553, 16.322351799815266, 0.0), (22.79904367157107, 127.5359560048183, 0.0), (196.22125352348763, 42.19703158415, 0.0), (13.06267608072742, 18.007415418349204, 0.0), (159.37061568511473, 1.4650067984992772, 0.0), (185.9908211509804, 97.59663039693707, 0.0), (99.91746446794956, 192.92337097245039, 0.0), (25.94715948378565, 91.4557769169692, 0.0), (176.836189785852, 118.12256867914165, 0.0), (182.59938607798043, 142.82682159955695, 0.0), (74.3610022184184, 85.12603300028019, 0.0), (75.93490814214879, 105.272775443382, 0.0), (145.941764775015, 40.53709569241944, 0.0), (25.27692829986967, 86.89137756592649, 0.0), (191.9839275178928, 129.2444983521509, 0.0), (87.88453401144643, 4.7049255588057814, 0.0), (66.33599392356365, 194.53821126932513, 0.0), (179.3560016349665, 109.04554742674925, 0.0), (184.87341112367685, 188.0117719864345, 0.0), (90.20108503201698, 147.31164702391487, 0.0))","((0, 80, 80), (145, 5, 80), (90, 145, 80), (105, 195, 80), (180, 115, 80))",011000011110111,"{0: [0], 1: [0], 2: [4], 3: [0], 4: [1], 5: [4], 6: [3], 7: [0], 8: [4], 9: [4], 10: [0], 11: [0], 12: [1], 13: [0], 14: [4], 15: [1], 16: [3], 17: [4], 18: [4], 19: [2]}","{0: 3976193231.6576934, 1: 3976193231.6576934, 2: 4016461317.4228687, 3: 3976193231.6576934, 4: 4830017635.248571, 5: 4259837081.0725737, 6: 4259837081.0725737, 7: 3976193231.6576934, 8: 4259837081.0725737, 9: 4259837081.0725737, 10: 3976193231.6576934, 11: 3924657855.810766, 12: 4626562514.294136, 13: 3976193231.6576934, 14: 4259837081.0725737, 15: 4307406153.077855, 16: 4259837081.0725737, 17: 4259837081.0725737, 18: 4040321864.848143, 19: 4259837081.0725737}"
"((14.42766961984819, 19.41832506131736, 0.0), (30.990245001220178, 125.85861531539184, 0.0), (194.59843649100006, 44.93197383918671, 0.0), (14.526347305722416, 8.06239350713569, 0.0), (137.1094839059184, 12.644421788267234, 0.0), (196.8556012144742, 115.35145084672811, 0.0), (105.8135093609273, 183.71687245400472, 0.0), (8.976990321596855, 105.29774512455819, 0.0), (193.65201381131322, 97.32624014600745, 0.0), (186.31614243334843, 138.61440258420518, 0.0), (82.51702897310172, 102.06402216284134, 0.0), (61.72120671983087, 96.08394564885619, 0.0), (122.81213741704067, 33.03567374174224, 0.0), (12.946775114298019, 79.78950860289972, 0.0), (192.82332012951179, 111.02079210373952, 0.0), (87.93436593158114, 4.69254363643831, 0.0), (66.43314436111594, 194.963793221141, 0.0), (179.91468140239232, 118.94471122743018, 0.0), (172.33683527451672, 162.4199105171985, 0.0), (89.74292697407671, 147.39292713071208, 0.0))","((5, 65, 80), (190, 5, 80), (90, 155, 80), (185, 130, 80), (125, 35, 80))",010000111100111,"{0: [0], 1: [0], 2: [1], 3: [0], 4: [1], 5: [3], 6: [2], 7: [0], 8: [3], 9: [3], 10: [0], 11: [0], 12: [4], 13: [0], 14: [3], 15: [1], 16: [2], 17: [3], 18: [3], 19: [2]}","{0: 3684035886.434753, 1: 3684035886.434753, 2: 4564466718.409829, 3: 3684035886.434753, 4: 4366334694.747288, 5: 3943727053.7041454, 6: 3943727053.7041454, 7: 3684035886.434753, 8: 3943727053.7041454, 9: 3943727053.7041454, 10: 3684035886.434753, 11: 3684035886.434753, 12: 4875000885.520679, 13: 3684035886.434753, 14: 3943727053.7041454, 15: 3560851006.130635, 16: 3943727053.7041454, 17: 3943727053.7041454, 18: 3943727053.7041454, 19: 3943727053.7041454}"
"((12.104037809563339, 19.46955995245657, 0.0), (26.563244088928638, 101.68471865951247, 0.0), (194.3314815412124, 42.90434450065973, 0.0), (35.88871736734769, 16.863594783711047, 0.0), (136.39904353982786, 12.132092692808085, 0.0), (195.76607675023365, 115.52448826631675, 0.0), (107.54267363775442, 182.17650386432743, 0.0), (10.172630491324956, 117.34684500343549, 0.0), (180.2992411139693, 96.99184949152286, 0.0), (175.52321814171464, 140.4174760070579, 0.0), (87.93407326053281, 102.89613191355045, 0.0), (55.14201413402948, 95.34503038089804, 0.0), (122.7545097807177, 33.08850013691686, 0.0), (13.266356047529845, 82.39931055387765, 0.0), (180.08621026931675, 136.04779894453196, 0.0), (75.83290887591089, 20.476400299901698, 0.0), (64.36481867132596, 189.66096875220364, 0.0), (180.95978470596734, 111.89084249552539, 0.0), (174.66853399059704, 167.13592383244537, 0.0), (91.0518292121504, 146.09928025960141, 0.0))","((185, 55, 80), (35, 85, 80), (0, 55, 80), (90, 155, 80), (195, 65, 80))",000111100100101,"{0: [2], 1: [1], 2: [4], 3: [1], 4: [0], 5: [4], 6: [3], 7: [1], 8: [4], 9: [4], 10: [1], 11: [1], 12: [0], 13: [1], 14: [4], 15: [2], 16: [2], 17: [4], 18: [4], 19: [3]}","{0: 3392030651.7347727, 1: 3392030651.7347727, 2: 4774473745.28937, 3: 3392030651.7347727, 4: 4180866561.449877, 5: 4411989842.656356, 6: 3392030651.7347727, 7: 3392030651.7347727, 8: 4630937525.7495985, 9: 3960707052.571012, 10: 3392030651.7347727, 11: 3392030651.7347727, 12: 4161097545.6626234, 13: 3392030651.7347727, 14: 4050071936.7299237, 15: 3392030651.7347727, 16: 2874677295.622171, 17: 4436391265.013148, 18: 3527730655.334615, 19: 3392030651.7347727}"
"((13.589741322641373, 9.579023613947994, 0.0), (30.339073018322452, 80.40618457247706, 0.0), (191.90701304957457, 43.030962203055005, 0.0), (36.0293291000143, 13.964650204160993, 0.0), (129.5634736638345, 1.2237024137063557, 0.0), (197.22037905656632, 115.19451440677481, 0.0), (116.5127604196592, 189.03500646977375, 0.0), (19.698178137060054, 103.62566792521112, 0.0), (182.54341881598327, 92.35131524947352, 0.0), (196.84749499221232, 151.8266046265644, 0.0), (74.95608622769956, 90.54967375383697, 0.0), (49.58100507944031, 86.82631110013747, 0.0), (144.04835987378968, 17.44689021483815, 0.0), (35.568146989764905, 67.8579887655073, 0.0), (193.08270117917598, 124.84164290216401, 0.0), (69.43882830412446, 10.439514770980134, 0.0), (52.352020511695954, 176.68709358871538, 0.0), (189.04893466783642, 103.97585082440543, 0.0), (175.08838626040722, 188.24476532276398, 0.0), (103.94917586270566, 134.80759248704564, 0.0))","((195, 80, 80), (35, 100, 80), (40, 0, 80), (115, 190, 80), (130, 135, 80))",001111110001111,"{0: [2], 1: [1], 2: [0], 3: [2], 4: [2], 5: [0], 6: [3], 7: [1], 8: [0], 9: [0], 10: [1], 11: [1], 12: [0], 13: [1], 14: [0], 15: [2], 16: [1], 17: [0], 18: [0], 19: [4]}","{0: 4226640759.925692, 1: 4226640759.925692, 2: 4606394799.835973, 3: 4226640759.925692, 4: 3764919454.862334, 5: 4630214066.782127, 6: 4703479471.569806, 7: 4226640759.925692, 8: 4811490117.63001, 9: 4062648155.5048556, 10: 4226640759.925692, 11: 4226640759.925692, 12: 3913744729.692593, 13: 4226640759.925692, 14: 4497457784.39044, 15: 4226640759.925692, 16: 3948329499.8654037, 17: 4750161023.43332, 18: 3434518924.0661507, 19: 4703479471.569806}"
"((19.175122720458894, 13.690927682375435, 0.0), (33.09492779702629, 75.86933913236479, 0.0), (192.8723794849356, 39.980342774235964, 0.0), (41.3572872053524, 5.161029723690984, 0.0), (113.83347622144628, 6.984506576432489, 0.0), (198.20628807536943, 115.50114402788024, 0.0), (110.78610605537048, 189.56334585580933, 0.0), (18.07230222427493, 104.014104706279, 0.0), (186.6174503644432, 83.36823495604317, 0.0), (196.79135027609144, 151.13029659934838, 0.0), (48.69607959055844, 89.20512451645911, 0.0), (50.54920655824112, 87.39347198929586, 0.0), (125.73795153659785, 7.027136604533226, 0.0), (23.839789615026582, 78.37555859815802, 0.0), (187.697201634701, 125.20967072398062, 0.0), (67.63902646522611, 9.32663584664315, 0.0), (51.24871460014286, 157.8572329122995, 0.0), (191.75482545347043, 107.42571331813636, 0.0), (183.54370300163728, 172.15559471917604, 0.0), (102.86226229660016, 135.31036963386572, 0.0))","((25, 115, 80), (160, 115, 80), (110, 190, 80), (190, 160, 80), (190, 0, 80))",011001111011111,"{0: [4], 1: [0], 2: [4], 3: [0], 4: [4], 5: [1], 6: [2], 7: [0], 8: [1], 9: [3], 10: [0], 11: [0], 12: [4], 13: [0], 14: [1], 15: [4], 16: [0], 17: [1], 18: [3], 19: [1]}","{0: 2603694469.613793, 1: 3919911996.3621144, 2: 4566024158.165864, 3: 3419147514.7301273, 4: 3984427664.5102916, 5: 4206283680.1504374, 6: 4206283680.1504374, 7: 3919911996.3621144, 8: 4206283680.1504374, 9: 4206283680.1504374, 10: 3919911996.3621144, 11: 3919911996.3621144, 12: 4183533821.352304, 13: 3919911996.3621144, 14: 4206283680.1504374, 15: 3242570616.8157005, 16: 3919911996.3621144, 17: 4206283680.1504374, 18: 4206283680.1504374, 19: 4206283680.1504374}"
"((12.251315148382421, 17.760840351994094, 0.0), (27.437415419493018, 76.54986677453161, 0.0), (187.9513148185256, 34.5138407663072, 0.0), (35.84245807605403, 2.9876900006728992, 0.0), (133.687713515328, 7.7680763778335145, 0.0), (181.54525371298013, 104.89634463856412, 0.0), (110.89940117073351, 192.72325791085854, 0.0), (31.90513201624367, 83.18878958551241, 0.0), (186.34516989500426, 70.52441802227841, 0.0), (194.51069685973363, 155.13726997809258, 0.0), (72.42960837936405, 96.4445824772968, 0.0), (51.06543199068164, 90.12139734698158, 0.0), (125.40634458496388, 7.124765397988784, 0.0), (26.741899007488616, 94.60295651524103, 0.0), (197.45556251426098, 135.52359402853315, 0.0), (55.73265565558588, 4.045541966603814, 0.0), (56.641188602399495, 165.09484044828272, 0.0), (194.3734053018572, 107.3269923763806, 0.0), (195.99541433455636, 167.49768366107307, 0.0), (112.0960823601387, 133.1175350466357, 0.0))","((40, 0, 80), (30, 100, 80), (110, 195, 80), (195, 55, 80), (170, 110, 80))",100011000111111,"{0: [0], 1: [1], 2: [3], 3: [0], 4: [0], 5: [4], 6: [2], 7: [1], 8: [3], 9: [4], 10: [1], 11: [1], 12: [0], 13: [1], 14: [4], 15: [0], 16: [1], 17: [4], 18: [4], 19: [4]}","{0: 3675384719.542013, 1: 3675384719.542013, 2: 4778373370.828718, 3: 3675384719.542013, 4: 3675384719.542013, 5: 4842625224.956488, 6: 4152214058.00098, 7: 3675384719.542013, 8: 4809791955.202322, 9: 4399026024.754556, 10: 3675384719.542013, 11: 3675384719.542013, 12: 3675384719.542013, 13: 3675384719.542013, 14: 4601248010.841319, 15: 3675384719.542013, 16: 3675384719.542013, 17: 4751955239.030273, 18: 4209205812.239139, 19: 4221682792.401036}"
"((12.036943561815846, 30.45681780706935, 0.0), (27.77383827026087, 94.31171357556096, 0.0), (199.2190458327964, 21.150124665498446, 0.0), (39.810041742621515, 6.320256511170482, 0.0), (133.0123739645267, 5.812819125171975, 0.0), (171.8029188851582, 115.63058737808022, 0.0), (111.63085174957274, 191.40996886004064, 0.0), (32.33064367248613, 84.04888271635805, 0.0), (196.23893359440538, 83.71302343229678, 0.0), (188.82710780557704, 151.46186758982546, 0.0), (63.7288680933025, 101.87950022619835, 0.0), (33.27485990933285, 89.23325334260569, 0.0), (125.58045298722882, 4.153026908136728, 0.0), (15.614502650080237, 107.44717977032566, 0.0), (191.249007463309, 129.58188693697497, 0.0), (39.13358112951298, 11.933957666908587, 0.0), (62.58950258287775, 183.68634876108425, 0.0), (195.90121767892646, 119.0919360046213, 0.0), (181.32607328336783, 161.05473266970486, 0.0), (120.16064744265053, 133.83236880462493, 0.0))","((195, 10, 80), (30, 75, 80), (170, 195, 80), (125, 150, 80), (10, 0, 80))",011110110001011,"{0: [4], 1: [1], 2: [0], 3: [4], 4: [0], 5: [2], 6: [2], 7: [1], 8: [0], 9: [2], 10: [1], 11: [1], 12: [0], 13: [1], 14: [2], 15: [4], 16: [2], 17: [2], 18: [2], 19: [3]}","{0: 3254973866.225404, 1: 3254973866.225404, 2: 4846284495.846609, 3: 3254973866.225404, 4: 4225309348.1162996, 5: 2719943197.5011883, 6: 2719943197.5011883, 7: 3254973866.225404, 8: 4031055556.7043257, 9: 2719943197.5011883, 10: 3254973866.225404, 11: 3254973866.225404, 12: 4099444502.6072154, 13: 3254973866.225404, 14: 2719943197.5011883, 15: 3254973866.225404, 16: 2719943197.5011883, 17: 2719943197.5011883, 18: 2719943197.5011883, 19: 3254973866.225404}"
